profile_id,instrument_symbol,contract_code,period,status,previous_market_data_file_id,next_market_data_file_id,previous_data_version,next_data_version,target_start,target_end,covers_target,selection_reason,block_reason
intraday_research_v1,pd,pd.MAIN,1m,would_change,56025,71672,rqdata_pd_standard_1m_20230103_20260711_v2,rqdata_pd_standard_1m_20230103_20260712_v2,2025-11-27,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pf,pf.MAIN,1m,would_change,56026,71529,rqdata_pf_standard_1m_20230103_20260711_v2,rqdata_pf_standard_1m_20201012_20260711_v2,2020-10-12,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pg,pg.MAIN,1m,would_change,56027,71334,rqdata_pg_standard_1m_20230103_20260711_v2,rqdata_pg_standard_1m_20200330_20260711_v2,2020-03-30,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pk,pk.MAIN,1m,would_change,56028,71547,rqdata_pk_standard_1m_20230103_20260711_v2,rqdata_pk_standard_1m_20210201_20260711_v2,2021-02-01,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pl,pl.MAIN,1m,would_change,56029,71675,rqdata_pl_standard_1m_20230103_20260711_v2,rqdata_pl_standard_1m_20230103_20260712_v2,2025-07-22,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pm,pm.MAIN,1m,would_change,56030,82783,rqdata_pm_standard_1m_20230103_20260711_v2,rqdata_pm_standard_1m_20120117_20260711_v2,2012-01-17,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pp,pp.MAIN,1m,would_change,56031,82756,rqdata_pp_standard_1m_20230103_20260711_v2,rqdata_pp_standard_1m_20140228_20260711_v2,2014-02-28,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pp_f,pp_f.MAIN,1m,would_change,56032,71678,rqdata_pp_f_standard_1m_20230103_20260711_v2,rqdata_pp_f_standard_1m_20230103_20260712_v2,2025-10-29,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pr,pr.MAIN,1m,would_change,56033,71681,rqdata_pr_standard_1m_20230103_20260711_v2,rqdata_pr_standard_1m_20230103_20260712_v2,2024-08-30,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ps,ps.MAIN,1m,would_change,56034,71684,rqdata_ps_standard_1m_20230103_20260711_v2,rqdata_ps_standard_1m_20230103_20260712_v2,2024-12-26,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pt,pt.MAIN,1m,would_change,56035,71687,rqdata_pt_standard_1m_20230103_20260711_v2,rqdata_pt_standard_1m_20230103_20260712_v2,2025-11-27,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,px,px.MAIN,1m,would_change,56036,71690,rqdata_px_standard_1m_20230103_20260711_v2,rqdata_px_standard_1m_20230103_20260712_v2,2023-09-15,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,rb,rb.MAIN,1m,would_change,56037,82777,rqdata_rb_standard_1m_20230103_20260711_v2,rqdata_rb_standard_1m_20090327_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ri,ri.MAIN,1m,would_change,56038,82786,rqdata_ri_standard_1m_20230103_20260711_v2,rqdata_ri_standard_1m_20120724_20260711_v2,2012-07-24,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,rm,rm.MAIN,1m,would_change,56039,82789,rqdata_rm_standard_1m_20230103_20260711_v2,rqdata_rm_standard_1m_20121228_20260711_v2,2012-12-28,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,rr,rr.MAIN,1m,would_change,56040,82735,rqdata_rr_standard_1m_20230103_20260711_v2,rqdata_rr_standard_1m_20190816_20260711_v2,2019-08-16,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,rs,rs.MAIN,1m,would_change,56041,82790,rqdata_rs_standard_1m_20230103_20260711_v2,rqdata_rs_standard_1m_20121228_20260711_v2,2012-12-28,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ru,ru.MAIN,1m,would_change,56042,82763,rqdata_ru_standard_1m_20230103_20260711_v2,rqdata_ru_standard_1m_20000104_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,sa,sa.MAIN,1m,would_change,56043,82732,rqdata_sa_standard_1m_20230103_20260711_v2,rqdata_sa_standard_1m_20191206_20260711_v2,2019-12-06,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,sc,sc.MAIN,1m,would_change,56044,82742,rqdata_sc_standard_1m_20230103_20260711_v2,rqdata_sc_standard_1m_20180326_20260711_v2,2018-03-26,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,sf,sf.MAIN,1m,would_change,56045,82752,rqdata_sf_standard_1m_20230103_20260711_v2,rqdata_sf_standard_1m_20140808_20260711_v2,2014-08-08,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,sh,sh.MAIN,1m,would_change,56046,71693,rqdata_sh_standard_1m_20230103_20260711_v2,rqdata_sh_standard_1m_20230103_20260712_v2,2023-09-15,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,si,si.MAIN,1m,would_change,56047,71336,rqdata_si_standard_1m_20230103_20260711_v2,rqdata_si_standard_1m_20221222_20260711_v2,2022-12-22,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,sm,sm.MAIN,1m,would_change,56048,82753,rqdata_sm_standard_1m_20230103_20260711_v2,rqdata_sm_standard_1m_20140808_20260711_v2,2014-08-08,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,sn,sn.MAIN,1m,would_change,56049,82749,rqdata_sn_standard_1m_20230103_20260711_v2,rqdata_sn_standard_1m_20150327_20260711_v2,2015-03-27,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,sp,sp.MAIN,1m,would_change,56050,82740,rqdata_sp_standard_1m_20230103_20260711_v2,rqdata_sp_standard_1m_20181127_20260711_v2,2018-11-27,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,sr,sr.MAIN,1m,would_change,56051,82770,rqdata_sr_standard_1m_20230103_20260711_v2,rqdata_sr_standard_1m_20060106_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ss,ss.MAIN,1m,would_change,56052,82734,rqdata_ss_standard_1m_20230103_20260711_v2,rqdata_ss_standard_1m_20190925_20260711_v2,2019-09-25,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,t,t.MAIN,1m,would_change,56053,82750,rqdata_t_standard_1m_20230103_20260711_v2,rqdata_t_standard_1m_20150320_20260711_v2,2015-03-20,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ta,ta.MAIN,1m,would_change,56054,82772,rqdata_ta_standard_1m_20230103_20260711_v2,rqdata_ta_standard_1m_20061218_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,tl,tl.MAIN,1m,would_change,56056,71696,rqdata_tl_standard_1m_20230103_20260711_v2,rqdata_tl_standard_1m_20230103_20260712_v2,2023-04-21,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ts,ts.MAIN,1m,would_change,56057,82741,rqdata_ts_standard_1m_20230103_20260711_v2,rqdata_ts_standard_1m_20180817_20260711_v2,2018-08-17,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ur,ur.MAIN,1m,would_change,56058,82737,rqdata_ur_standard_1m_20230103_20260711_v2,rqdata_ur_standard_1m_20190809_20260711_v2,2019-08-09,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,v,v.MAIN,1m,would_change,56059,82779,rqdata_v_standard_1m_20230103_20260711_v2,rqdata_v_standard_1m_20090525_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,v_f,v_f.MAIN,1m,would_change,56060,71699,rqdata_v_f_standard_1m_20230103_20260711_v2,rqdata_v_f_standard_1m_20230103_20260712_v2,2025-10-29,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,wh,wh.MAIN,1m,would_change,56061,82787,rqdata_wh_standard_1m_20230103_20260711_v2,rqdata_wh_standard_1m_20120724_20260711_v2,2012-07-24,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,wr,wr.MAIN,1m,would_change,56062,82778,rqdata_wr_standard_1m_20230103_20260711_v2,rqdata_wr_standard_1m_20090327_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,y,y.MAIN,1m,would_change,56063,82771,rqdata_y_standard_1m_20230103_20260711_v2,rqdata_y_standard_1m_20060109_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,zc,zc.MAIN,1m,would_change,56064,82745,rqdata_zc_standard_1m_20230103_20260711_v2,rqdata_zc_standard_1m_20150518_20260711_v2,2015-05-18,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,zn,zn.MAIN,1m,would_change,56065,82773,rqdata_zn_standard_1m_20230103_20260711_v2,rqdata_zn_standard_1m_20070326_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,a,a.MAIN,1d,would_change,56426,82673,rqdata_a_standard_1d_20200102_20260711_v2,rqdata_a_standard_1d_20020315_20260711_v2,2002-03-15,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,a,a.MAIN,1w,would_change,56427,79765,rqdata_a_standard_1w_20200102_20260711_v2,rqdata_a_standard_1w_20020315_20260711_v2,2002-03-15,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,ad,ad.MAIN,1d,would_change,40893,71646,rqdata_ad_standard_1d_20230103_20260707_v2,rqdata_ad_standard_1d_20230103_20260712_v2,2025-06-10,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,ad,ad.MAIN,1w,would_change,55799,71647,rqdata_ad_standard_1w_20230103_20260711_v2,rqdata_ad_standard_1w_20230103_20260712_v2,2025-06-13,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,ag,ag.MAIN,1d,would_change,56428,82692,rqdata_ag_standard_1d_20200102_20260711_v2,rqdata_ag_standard_1d_20120510_20260711_v2,2012-05-10,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,ag,ag.MAIN,1w,would_change,56429,79766,rqdata_ag_standard_1w_20200102_20260711_v2,rqdata_ag_standard_1w_20120510_20260711_v2,2012-05-11,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,al,al.MAIN,1d,would_change,56430,82669,rqdata_al_standard_1d_20200102_20260711_v2,rqdata_al_standard_1d_20000104_20260711_v2,2000-01-05,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,al,al.MAIN,1w,would_change,56431,82666,rqdata_al_standard_1w_20200102_20260711_v2,rqdata_al_standard_1w_20000104_20260711_v2,2000-01-07,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,ao,ao.MAIN,1d,would_change,40911,71649,rqdata_ao_standard_1d_20230103_20260707_v2,rqdata_ao_standard_1d_20230103_20260712_v2,2023-06-19,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,ao,ao.MAIN,1w,would_change,44118,71650,rqdata_ao_standard_1w_20230103_20260707_v2,rqdata_ao_standard_1w_20230103_20260712_v2,2023-06-21,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,ap,ap.MAIN,1d,would_change,56432,82720,rqdata_ap_standard_1d_20200102_20260711_v2,rqdata_ap_standard_1d_20171222_20260711_v2,2017-12-22,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,ap,ap.MAIN,1w,would_change,56433,79768,rqdata_ap_standard_1w_20200102_20260711_v2,rqdata_ap_standard_1w_20171222_20260711_v2,2017-12-22,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,au,au.MAIN,1d,would_change,56434,82683,rqdata_au_standard_1d_20200102_20260711_v2,rqdata_au_standard_1d_20080109_20260711_v2,2008-01-09,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,au,au.MAIN,1w,would_change,56435,79769,rqdata_au_standard_1w_20200102_20260711_v2,rqdata_au_standard_1w_20080109_20260711_v2,2008-01-11,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,b,b.MAIN,1w,would_change,56437,79770,rqdata_b_standard_1w_20200102_20260711_v2,rqdata_b_standard_1w_20041222_20260711_v2,2004-12-24,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,bc,bc.MAIN,1d,unchanged,56440,56440,rqdata_bc_standard_1d_20201119_20260711_v2,rqdata_bc_standard_1d_20201119_20260711_v2,2020-11-19,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,bc,bc.MAIN,1w,unchanged,56441,56441,rqdata_bc_standard_1w_20201119_20260711_v2,rqdata_bc_standard_1w_20201119_20260711_v2,2020-11-20,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,br,br.MAIN,1d,would_change,40946,71652,rqdata_br_standard_1d_20230103_20260707_v2,rqdata_br_standard_1d_20230103_20260712_v2,2023-07-28,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,br,br.MAIN,1w,would_change,55674,71653,rqdata_br_standard_1w_20230103_20260710_v2,rqdata_br_standard_1w_20230103_20260712_v2,2023-07-28,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,bu,bu.MAIN,1d,would_change,56442,82701,rqdata_bu_standard_1d_20200102_20260711_v2,rqdata_bu_standard_1d_20131009_20260711_v2,2013-10-09,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,bu,bu.MAIN,1w,would_change,56443,79772,rqdata_bu_standard_1w_20200102_20260711_v2,rqdata_bu_standard_1w_20131009_20260711_v2,2013-10-11,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,bz,bz.MAIN,1d,would_change,40958,71655,rqdata_bz_standard_1d_20230103_20260707_v2,rqdata_bz_standard_1d_20230103_20260712_v2,2025-07-08,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,bz,bz.MAIN,1w,would_change,55676,71656,rqdata_bz_standard_1w_20230103_20260710_v2,rqdata_bz_standard_1w_20230103_20260712_v2,2025-07-11,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,c,c.MAIN,1d,would_change,56444,82676,rqdata_c_standard_1d_20200102_20260711_v2,rqdata_c_standard_1d_20040922_20260711_v2,2004-09-22,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,c,c.MAIN,1w,would_change,56445,79773,rqdata_c_standard_1w_20200102_20260711_v2,rqdata_c_standard_1w_20040922_20260711_v2,2004-09-24,2026-07-10,True,covers_target_canonical_current,
long_horizon_daily_v1,cf,cf.MAIN,1d,would_change,56446,82674,rqdata_cf_standard_1d_20200102_20260711_v2,rqdata_cf_standard_1d_20040601_20260711_v2,2004-06-01,2026-07-10,True,covers_target_canonical_current,
