instrument_symbol,contract_code,period,primary_count
pp,PP2609,1d,3
pp,PP2609,1m,3
pp,PP2609,30m,3
pp,PP2609,5m,3
pp,PP2609,60m,3
pp,pp.MAIN,15m,2
pp,pp.MAIN,1d,4
pp,pp.MAIN,1m,2
pp,pp.MAIN,1w,4
pp,pp.MAIN,30m,2
pp,pp.MAIN,5m,2
pp,pp.MAIN,60m,2
pp_f,PP2609F,15m,2
pp_f,PP2609F,1d,2
pp_f,PP2609F,1m,2
pp_f,PP2609F,30m,2
pp_f,PP2609F,5m,2
pp_f,PP2609F,60m,2
pp_f,pp_f.MAIN,15m,2
pp_f,pp_f.MAIN,1d,3
pp_f,pp_f.MAIN,1m,2
pp_f,pp_f.MAIN,1w,3
pp_f,pp_f.MAIN,30m,2
pp_f,pp_f.MAIN,5m,2
pp_f,pp_f.MAIN,60m,2
pr,PR2609,15m,2
pr,PR2609,1d,2
pr,PR2609,1m,2
pr,PR2609,30m,2
pr,PR2609,5m,2
pr,PR2609,60m,2
pr,pr.MAIN,15m,2
pr,pr.MAIN,1d,3
pr,pr.MAIN,1m,2
pr,pr.MAIN,1w,3
pr,pr.MAIN,30m,2
pr,pr.MAIN,5m,2
pr,pr.MAIN,60m,2
ps,PS2609,15m,2
ps,PS2609,1d,2
ps,PS2609,1m,2
ps,PS2609,30m,2
ps,PS2609,5m,2
ps,PS2609,60m,2
ps,ps.MAIN,15m,2
ps,ps.MAIN,1d,3
ps,ps.MAIN,1m,2
ps,ps.MAIN,1w,3
ps,ps.MAIN,30m,2
ps,ps.MAIN,5m,2
ps,ps.MAIN,60m,2
pt,PT2608,15m,2
pt,PT2608,1d,2
pt,PT2608,1m,2
pt,PT2608,30m,2
pt,PT2608,5m,2
pt,PT2608,60m,2
pt,pt.MAIN,15m,2
pt,pt.MAIN,1d,3
pt,pt.MAIN,1m,2
pt,pt.MAIN,1w,3
pt,pt.MAIN,30m,2
pt,pt.MAIN,5m,2
pt,pt.MAIN,60m,2
px,PX2609,15m,2
px,PX2609,1d,2
px,PX2609,1m,2
px,PX2609,30m,2
px,PX2609,5m,2
px,PX2609,60m,2
px,px.MAIN,15m,2
px,px.MAIN,1d,3
px,px.MAIN,1m,2
px,px.MAIN,1w,3
px,px.MAIN,30m,2
px,px.MAIN,5m,2
px,px.MAIN,60m,2
rb,RB2610,15m,3
rb,RB2610,1d,3
rb,RB2610,1m,3
rb,RB2610,30m,3
rb,RB2610,5m,3
rb,RB2610,60m,3
rb,rb.MAIN,15m,2
rb,rb.MAIN,1d,4
rb,rb.MAIN,1m,2
rb,rb.MAIN,1w,4
rb,rb.MAIN,30m,2
rb,rb.MAIN,5m,2
rb,rb.MAIN,60m,2
ri,RI2301,1d,2
ri,RI2607,15m,2
ri,RI2607,1d,2
ri,RI2607,1m,2
ri,RI2607,30m,2
ri,RI2607,5m,2
ri,RI2607,60m,2
ri,ri.MAIN,15m,2
ri,ri.MAIN,1d,4
ri,ri.MAIN,1m,2
ri,ri.MAIN,1w,4
ri,ri.MAIN,30m,2
ri,ri.MAIN,5m,2
ri,ri.MAIN,60m,2
rm,RM2305,1d,2
rm,RM2609,15m,2
rm,RM2609,1d,2
rm,RM2609,1m,2
rm,RM2609,30m,2
rm,RM2609,5m,2
rm,RM2609,60m,2
rm,rm.MAIN,15m,2
rm,rm.MAIN,1d,4
rm,rm.MAIN,1m,2
rm,rm.MAIN,1w,4
rm,rm.MAIN,30m,2
rm,rm.MAIN,5m,2
rm,rm.MAIN,60m,2
rr,RR2302,1d,2
rr,RR2608,15m,2
rr,RR2608,1d,2
rr,RR2608,1m,2
rr,RR2608,30m,2
rr,RR2608,5m,2
rr,RR2608,60m,2
rr,rr.MAIN,15m,2
rr,rr.MAIN,1d,4
rr,rr.MAIN,1m,2
rr,rr.MAIN,1w,4
rr,rr.MAIN,30m,2
rr,rr.MAIN,5m,2
rr,rr.MAIN,60m,2
rs,RS2609,15m,2
rs,RS2609,1d,2
rs,RS2609,1m,2
rs,RS2609,30m,2
rs,RS2609,5m,2
rs,RS2609,60m,2
rs,rs.MAIN,15m,2
rs,rs.MAIN,1d,3
rs,rs.MAIN,1m,2
rs,rs.MAIN,1w,3
rs,rs.MAIN,30m,2
rs,rs.MAIN,5m,2
rs,rs.MAIN,60m,2
ru,RU2305,1d,2
ru,RU2609,15m,2
ru,RU2609,1d,2
ru,RU2609,1m,2
ru,RU2609,30m,2
ru,RU2609,5m,2
ru,RU2609,60m,2
ru,ru.MAIN,15m,2
ru,ru.MAIN,1d,4
ru,ru.MAIN,1m,2
ru,ru.MAIN,1w,4
ru,ru.MAIN,30m,2
ru,ru.MAIN,5m,2
ru,ru.MAIN,60m,2
sa,SA2609,15m,3
sa,SA2609,1d,3
sa,SA2609,1m,3
sa,SA2609,30m,3
sa,SA2609,5m,3
sa,SA2609,60m,3
sa,sa.MAIN,15m,2
sa,sa.MAIN,1d,4
sa,sa.MAIN,1m,2
sa,sa.MAIN,1w,4
sa,sa.MAIN,30m,2
sa,sa.MAIN,5m,2
sa,sa.MAIN,60m,2
