product,contract_role,period,source_role,listing_start,provider_authoritative_start,provider_metadata_support,physical_min,target_start,target_end,boundary_status,boundary_reason
oi,dominant_main,1d,derived_from_1m,2012-07-16,,absent,2012-07-16,2012-07-16,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
oi,dominant_main,1d,direct,2012-07-16,,absent,2012-07-16,2012-07-16,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
oi,dominant_main,1m,direct,2012-07-16,,absent,2012-07-16,2012-07-16,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
oi,dominant_main,1w,direct,2012-07-16,,absent,2012-07-20,2012-07-20,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
oi,dominant_main,30m,derived_from_1m,2012-07-16,,absent,2020-01-02,2012-07-16,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
oi,dominant_main,5m,derived_from_1m,2012-07-16,,absent,2020-01-02,2012-07-16,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
oi,dominant_main,60m,derived_from_1m,2012-07-16,,absent,2020-01-02,2012-07-16,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
op,dominant_main,15m,derived_from_1m,2025-09-10,,absent,2025-09-10,2025-09-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
op,dominant_main,1d,derived_from_1m,2025-09-10,,absent,2025-09-10,2025-09-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
op,dominant_main,1d,direct,2025-09-10,,absent,2025-09-10,2025-09-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
op,dominant_main,1m,direct,2025-09-10,,absent,2025-09-10,2025-09-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
op,dominant_main,1w,direct,2025-09-10,,absent,2025-09-12,2025-09-12,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
op,dominant_main,30m,derived_from_1m,2025-09-10,,absent,2025-09-10,2025-09-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
