product,contract_role,period,source_role,listing_start,provider_authoritative_start,provider_metadata_support,physical_min,target_start,target_end,boundary_status,boundary_reason,physical_coverage,registration,quality,reference_metadata,evidence_path_count,identity_conflict
bb,dominant_main,60m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
bc,dominant_main,15m,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
bc,dominant_main,1d,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,4,False
bc,dominant_main,1d,direct,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
bc,dominant_main,1m,direct,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
bc,dominant_main,1w,direct,2020-11-19,,absent,2020-11-20,2020-11-20,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
bc,dominant_main,30m,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
bc,dominant_main,5m,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
bc,dominant_main,60m,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
br,dominant_main,15m,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
br,dominant_main,1d,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,4,False
br,dominant_main,1d,direct,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
br,dominant_main,1m,direct,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
br,dominant_main,1w,direct,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
