profile_id,product,period,quality_policy,active_binding_count,profile_eligibility,reason
intraday_research_v1,j,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,j,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,j,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,j,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,j,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,j,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jd,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jd,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jd,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jd,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jd,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jd,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jm,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jm,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jm,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jm,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jm,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jm,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jr,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jr,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jr,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jr,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jr,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,jr,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,l,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
