product,metadata_type,applicability,status,reason,evidence_start,evidence_end
l_f,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-10-29,2026-07-10
l_f,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-10-29,2026-07-07
l_f,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
l_f,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-10-29,2026-07-10
l_f,trading_session,applicable,unverified,historical_scope_unverified,,
lc,asset_registration,applicable,passed,registered_contract_listing,2023-07-21,2026-07-10
lc,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2023-07-21,2026-07-07
lc,contract_universe,applicable,unverified,blocked_by_trading_calendar,2023-07-21,2026-07-10
lc,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2023-07-21,2026-07-07
lc,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
lc,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2023-07-21,2026-07-10
lc,trading_session,applicable,unverified,historical_scope_unverified,,
lg,asset_registration,applicable,passed,registered_contract_listing,2024-11-18,2026-07-10
lg,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2024-11-18,2026-07-07
lg,contract_universe,applicable,unverified,blocked_by_trading_calendar,2024-11-18,2026-07-10
lg,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2024-11-18,2026-07-07
lg,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
lg,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2024-11-18,2026-07-10
lg,trading_session,applicable,unverified,historical_scope_unverified,,
lh,asset_registration,applicable,passed,registered_contract_listing,2021-01-08,2026-07-10
lh,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2021-01-08,2026-07-07
lh,contract_universe,applicable,unverified,blocked_by_trading_calendar,2021-01-08,2026-07-10
lh,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2021-01-08,2026-07-07
lh,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
lh,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2021-01-08,2026-07-10
lh,trading_session,applicable,unverified,historical_scope_unverified,,
