product,contract_role,symbol_or_contract,period,start_date,end_date,evidence_source,provider,data_role,quality_status,manifest_status,manifest_or_db_row_count,db_market_data_file_id,data_quality_report_status,physical_path,physical_exists,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,duckdb_error,checksum_status,row_count_status
al,actual_contract,AL2110,1d,2021-08-19,2021-09-13,manifest,rqdata,primary,passed,success,18,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2110/AL2110_1d_20210819_20210913.parquet,True,18,2021-08-19T00:00:00,2021-09-13T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2110,1w,2021-08-27,2021-09-10,manifest,rqdata,primary,passed,success,3,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2110/AL2110_1w_20210819_20210913.parquet,True,3,2021-08-27T00:00:00,2021-09-10T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2111,1d,2021-09-14,2021-10-15,manifest,rqdata,primary,passed,success,17,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2111/AL2111_1d_20210914_20211015.parquet,True,17,2021-09-14T00:00:00,2021-10-15T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2111,1w,2021-09-24,2021-10-15,manifest,rqdata,primary,passed,success,4,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2111/AL2111_1w_20210914_20211015.parquet,True,4,2021-09-24T00:00:00,2021-10-15T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2112,1d,2021-10-18,2021-11-15,manifest,rqdata,primary,passed,success,21,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2112/AL2112_1d_20211018_20211115.parquet,True,21,2021-10-18T00:00:00,2021-11-15T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2112,1w,2021-10-22,2021-11-12,manifest,rqdata,primary,passed,success,4,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2112/AL2112_1w_20211018_20211115.parquet,True,4,2021-10-22T00:00:00,2021-11-12T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2201,1d,2021-11-16,2021-12-16,manifest,rqdata,primary,passed,success,23,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2201/AL2201_1d_20211116_20211216.parquet,True,23,2021-11-16T00:00:00,2021-12-16T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2201,1w,2021-11-26,2021-12-10,manifest,rqdata,primary,passed,success,3,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2201/AL2201_1w_20211116_20211216.parquet,True,3,2021-11-26T00:00:00,2021-12-10T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2202,1d,2021-12-17,2022-01-14,manifest,rqdata,primary,passed,success,20,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2202/AL2202_1d_20211217_20220114.parquet,True,20,2021-12-17T00:00:00,2022-01-14T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2202,1w,2021-12-24,2022-01-14,manifest,rqdata,primary,passed,success,4,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2202/AL2202_1w_20211217_20220114.parquet,True,4,2021-12-24T00:00:00,2022-01-14T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2203,1d,2022-01-17,2022-02-21,manifest,rqdata,primary,passed,success,21,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2203/AL2203_1d_20220117_20220221.parquet,True,21,2022-01-17T00:00:00,2022-02-21T00:00:00,,checksum_unverified,matched
