profile_id,instrument_symbol,contract_code,period,contract_role,target_start,target_end,target_ranges,lineage_required,evidence_source
intraday_research_v1,bz,bz.MAIN,60m,dominant_main,2025-07-08,2026-07-10,"[[""2025-07-08"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,c,c.MAIN,15m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,c,c.MAIN,1d,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,c,c.MAIN,1m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,c,c.MAIN,30m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,c,c.MAIN,5m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,c,c.MAIN,60m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cf,cf.MAIN,15m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cf,cf.MAIN,1d,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cf,cf.MAIN,1m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,cf,cf.MAIN,30m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cf,cf.MAIN,5m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cf,cf.MAIN,60m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cj,cj.MAIN,15m,dominant_main,2019-04-30,2026-07-10,"[[""2019-04-30"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cj,cj.MAIN,1d,dominant_main,2019-04-30,2026-07-10,"[[""2019-04-30"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cj,cj.MAIN,1m,dominant_main,2019-04-30,2026-07-10,"[[""2019-04-30"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,cj,cj.MAIN,30m,dominant_main,2019-04-30,2026-07-10,"[[""2019-04-30"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cj,cj.MAIN,5m,dominant_main,2019-04-30,2026-07-10,"[[""2019-04-30"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cj,cj.MAIN,60m,dominant_main,2019-04-30,2026-07-10,"[[""2019-04-30"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cs,cs.MAIN,15m,dominant_main,2014-12-19,2026-07-10,"[[""2014-12-19"",""2026-07-10""]]",True,audit_v2_expected_windows
