profile_id,instrument_symbol,contract_code,period,diff_status,expected_market_data_file_id,actual_market_data_file_id,expected_data_version,actual_data_version,active_match
intraday_research_v1,v_f,v_f.MAIN,1m,would_change,71699,71699,rqdata_v_f_standard_1m_20230103_20260712_v2,rqdata_v_f_standard_1m_20230103_20260712_v2,True
intraday_research_v1,wh,wh.MAIN,1m,would_change,82787,82787,rqdata_wh_standard_1m_20120724_20260711_v2,rqdata_wh_standard_1m_20120724_20260711_v2,True
intraday_research_v1,wr,wr.MAIN,1m,would_change,82778,82778,rqdata_wr_standard_1m_20090327_20260711_v2,rqdata_wr_standard_1m_20090327_20260711_v2,True
intraday_research_v1,y,y.MAIN,1m,would_change,82771,82771,rqdata_y_standard_1m_20060109_20260711_v2,rqdata_y_standard_1m_20060109_20260711_v2,True
intraday_research_v1,zc,zc.MAIN,1m,would_change,82745,82745,rqdata_zc_standard_1m_20150518_20260711_v2,rqdata_zc_standard_1m_20150518_20260711_v2,True
intraday_research_v1,zn,zn.MAIN,1m,would_change,82773,82773,rqdata_zn_standard_1m_20070326_20260711_v2,rqdata_zn_standard_1m_20070326_20260711_v2,True
live_observation_v1,jm,jm.MAIN,15m,would_change,71338,71338,rqdata_jm_standard_15m_20200102_20260711_v2,rqdata_jm_standard_15m_20200102_20260711_v2,True
live_observation_v1,jm,jm.MAIN,5m,would_change,71337,71337,rqdata_jm_standard_5m_20200102_20260711_v2,rqdata_jm_standard_5m_20200102_20260711_v2,True
long_horizon_daily_v1,a,a.MAIN,1d,would_change,82673,82673,rqdata_a_standard_1d_20020315_20260711_v2,rqdata_a_standard_1d_20020315_20260711_v2,True
long_horizon_daily_v1,a,a.MAIN,1w,would_change,79765,79765,rqdata_a_standard_1w_20020315_20260711_v2,rqdata_a_standard_1w_20020315_20260711_v2,True
long_horizon_daily_v1,ad,ad.MAIN,1d,would_change,71646,71646,rqdata_ad_standard_1d_20230103_20260712_v2,rqdata_ad_standard_1d_20230103_20260712_v2,True
long_horizon_daily_v1,ad,ad.MAIN,1w,would_change,71647,71647,rqdata_ad_standard_1w_20230103_20260712_v2,rqdata_ad_standard_1w_20230103_20260712_v2,True
long_horizon_daily_v1,ag,ag.MAIN,1d,would_change,82692,82692,rqdata_ag_standard_1d_20120510_20260711_v2,rqdata_ag_standard_1d_20120510_20260711_v2,True
long_horizon_daily_v1,ag,ag.MAIN,1w,would_change,79766,79766,rqdata_ag_standard_1w_20120510_20260711_v2,rqdata_ag_standard_1w_20120510_20260711_v2,True
long_horizon_daily_v1,al,al.MAIN,1d,would_change,82669,82669,rqdata_al_standard_1d_20000104_20260711_v2,rqdata_al_standard_1d_20000104_20260711_v2,True
long_horizon_daily_v1,al,al.MAIN,1w,would_change,82666,82666,rqdata_al_standard_1w_20000104_20260711_v2,rqdata_al_standard_1w_20000104_20260711_v2,True
long_horizon_daily_v1,ao,ao.MAIN,1d,would_change,71649,71649,rqdata_ao_standard_1d_20230103_20260712_v2,rqdata_ao_standard_1d_20230103_20260712_v2,True
long_horizon_daily_v1,ao,ao.MAIN,1w,would_change,71650,71650,rqdata_ao_standard_1w_20230103_20260712_v2,rqdata_ao_standard_1w_20230103_20260712_v2,True
long_horizon_daily_v1,ap,ap.MAIN,1d,would_change,82720,82720,rqdata_ap_standard_1d_20171222_20260711_v2,rqdata_ap_standard_1d_20171222_20260711_v2,True
long_horizon_daily_v1,ap,ap.MAIN,1w,would_change,79768,79768,rqdata_ap_standard_1w_20171222_20260711_v2,rqdata_ap_standard_1w_20171222_20260711_v2,True
long_horizon_daily_v1,au,au.MAIN,1d,would_change,82683,82683,rqdata_au_standard_1d_20080109_20260711_v2,rqdata_au_standard_1d_20080109_20260711_v2,True
long_horizon_daily_v1,au,au.MAIN,1w,would_change,79769,79769,rqdata_au_standard_1w_20080109_20260711_v2,rqdata_au_standard_1w_20080109_20260711_v2,True
long_horizon_daily_v1,b,b.MAIN,1w,would_change,79770,79770,rqdata_b_standard_1w_20041222_20260711_v2,rqdata_b_standard_1w_20041222_20260711_v2,True
long_horizon_daily_v1,bc,bc.MAIN,1d,unchanged,56440,56440,rqdata_bc_standard_1d_20201119_20260711_v2,rqdata_bc_standard_1d_20201119_20260711_v2,True
long_horizon_daily_v1,bc,bc.MAIN,1w,unchanged,56441,56441,rqdata_bc_standard_1w_20201119_20260711_v2,rqdata_bc_standard_1w_20201119_20260711_v2,True
long_horizon_daily_v1,br,br.MAIN,1d,would_change,71652,71652,rqdata_br_standard_1d_20230103_20260712_v2,rqdata_br_standard_1d_20230103_20260712_v2,True
long_horizon_daily_v1,br,br.MAIN,1w,would_change,71653,71653,rqdata_br_standard_1w_20230103_20260712_v2,rqdata_br_standard_1w_20230103_20260712_v2,True
long_horizon_daily_v1,bu,bu.MAIN,1d,would_change,82701,82701,rqdata_bu_standard_1d_20131009_20260711_v2,rqdata_bu_standard_1d_20131009_20260711_v2,True
long_horizon_daily_v1,bu,bu.MAIN,1w,would_change,79772,79772,rqdata_bu_standard_1w_20131009_20260711_v2,rqdata_bu_standard_1w_20131009_20260711_v2,True
long_horizon_daily_v1,bz,bz.MAIN,1d,would_change,71655,71655,rqdata_bz_standard_1d_20230103_20260712_v2,rqdata_bz_standard_1d_20230103_20260712_v2,True
long_horizon_daily_v1,bz,bz.MAIN,1w,would_change,71656,71656,rqdata_bz_standard_1w_20230103_20260712_v2,rqdata_bz_standard_1w_20230103_20260712_v2,True
long_horizon_daily_v1,c,c.MAIN,1d,would_change,82676,82676,rqdata_c_standard_1d_20040922_20260711_v2,rqdata_c_standard_1d_20040922_20260711_v2,True
long_horizon_daily_v1,c,c.MAIN,1w,would_change,79773,79773,rqdata_c_standard_1w_20040922_20260711_v2,rqdata_c_standard_1w_20040922_20260711_v2,True
long_horizon_daily_v1,cf,cf.MAIN,1d,would_change,82674,82674,rqdata_cf_standard_1d_20040601_20260711_v2,rqdata_cf_standard_1d_20040601_20260711_v2,True
long_horizon_daily_v1,cf,cf.MAIN,1w,would_change,79774,79774,rqdata_cf_standard_1w_20040601_20260711_v2,rqdata_cf_standard_1w_20040601_20260711_v2,True
long_horizon_daily_v1,cj,cj.MAIN,1d,would_change,82725,82725,rqdata_cj_standard_1d_20190430_20260711_v2,rqdata_cj_standard_1d_20190430_20260711_v2,True
long_horizon_daily_v1,cj,cj.MAIN,1w,would_change,79775,79775,rqdata_cj_standard_1w_20190430_20260711_v2,rqdata_cj_standard_1w_20190430_20260711_v2,True
long_horizon_daily_v1,cs,cs.MAIN,1d,would_change,82712,82712,rqdata_cs_standard_1d_20141219_20260711_v2,rqdata_cs_standard_1d_20141219_20260711_v2,True
long_horizon_daily_v1,cs,cs.MAIN,1w,would_change,79776,79776,rqdata_cs_standard_1w_20141219_20260711_v2,rqdata_cs_standard_1w_20141219_20260711_v2,True
long_horizon_daily_v1,cu,cu.MAIN,1d,would_change,82670,82670,rqdata_cu_standard_1d_20000104_20260711_v2,rqdata_cu_standard_1d_20000104_20260711_v2,True
long_horizon_daily_v1,cu,cu.MAIN,1w,would_change,82667,82667,rqdata_cu_standard_1w_20000104_20260711_v2,rqdata_cu_standard_1w_20000104_20260711_v2,True
long_horizon_daily_v1,cy,cy.MAIN,1d,would_change,82719,82719,rqdata_cy_standard_1d_20170818_20260711_v2,rqdata_cy_standard_1d_20170818_20260711_v2,True
long_horizon_daily_v1,cy,cy.MAIN,1w,would_change,79778,79778,rqdata_cy_standard_1w_20170818_20260711_v2,rqdata_cy_standard_1w_20170818_20260711_v2,True
long_horizon_daily_v1,eb,eb.MAIN,1d,would_change,82730,82730,rqdata_eb_standard_1d_20190926_20260711_v2,rqdata_eb_standard_1d_20190926_20260711_v2,True
long_horizon_daily_v1,eb,eb.MAIN,1w,would_change,79779,79779,rqdata_eb_standard_1w_20190926_20260711_v2,rqdata_eb_standard_1w_20190926_20260711_v2,True
long_horizon_daily_v1,ec,ec.MAIN,1d,would_change,71658,71658,rqdata_ec_standard_1d_20230103_20260712_v2,rqdata_ec_standard_1d_20230103_20260712_v2,True
long_horizon_daily_v1,ec,ec.MAIN,1w,would_change,71659,71659,rqdata_ec_standard_1w_20230103_20260712_v2,rqdata_ec_standard_1w_20230103_20260712_v2,True
long_horizon_daily_v1,eg,eg.MAIN,1d,would_change,82724,82724,rqdata_eg_standard_1d_20181210_20260711_v2,rqdata_eg_standard_1d_20181210_20260711_v2,True
long_horizon_daily_v1,eg,eg.MAIN,1w,would_change,79780,79780,rqdata_eg_standard_1w_20181210_20260711_v2,rqdata_eg_standard_1w_20181210_20260711_v2,True
long_horizon_daily_v1,fb,fb.MAIN,1w,would_change,79781,79781,rqdata_fb_standard_1w_20131206_20260711_v2,rqdata_fb_standard_1w_20131206_20260711_v2,True
long_horizon_daily_v1,fg,fg.MAIN,1d,would_change,82696,82696,rqdata_fg_standard_1d_20121203_20260711_v2,rqdata_fg_standard_1d_20121203_20260711_v2,True
long_horizon_daily_v1,fg,fg.MAIN,1w,would_change,79782,79782,rqdata_fg_standard_1w_20121203_20260711_v2,rqdata_fg_standard_1w_20121203_20260711_v2,True
long_horizon_daily_v1,fu,fu.MAIN,1d,would_change,82675,82675,rqdata_fu_standard_1d_20040825_20260711_v2,rqdata_fu_standard_1d_20040825_20260711_v2,True
long_horizon_daily_v1,fu,fu.MAIN,1w,would_change,79783,79783,rqdata_fu_standard_1w_20040825_20260711_v2,rqdata_fu_standard_1w_20040825_20260711_v2,True
long_horizon_daily_v1,hc,hc.MAIN,1d,would_change,82708,82708,rqdata_hc_standard_1d_20140321_20260711_v2,rqdata_hc_standard_1d_20140321_20260711_v2,True
long_horizon_daily_v1,hc,hc.MAIN,1w,would_change,79784,79784,rqdata_hc_standard_1w_20140321_20260711_v2,rqdata_hc_standard_1w_20140321_20260711_v2,True
long_horizon_daily_v1,i,i.MAIN,1d,would_change,82702,82702,rqdata_i_standard_1d_20131018_20260711_v2,rqdata_i_standard_1d_20131018_20260711_v2,True
long_horizon_daily_v1,i,i.MAIN,1w,would_change,79785,79785,rqdata_i_standard_1w_20131018_20260711_v2,rqdata_i_standard_1w_20131018_20260711_v2,True
long_horizon_daily_v1,ic,ic.MAIN,1d,would_change,82716,82716,rqdata_ic_standard_1d_20150416_20260711_v2,rqdata_ic_standard_1d_20150416_20260711_v2,True
long_horizon_daily_v1,ic,ic.MAIN,1w,would_change,79786,79786,rqdata_ic_standard_1w_20150416_20260711_v2,rqdata_ic_standard_1w_20150416_20260711_v2,True
