product,year,dataset,status,issue_type,db_available,recommended_next_task
bu,2020,trading_sessions,covered_passed,,True,
bu,2021,main_contract_map_rank1,covered_passed,,True,
bu,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bu,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bu,2021,trading_parameters,covered_passed,,True,
bu,2021,trading_calendar,covered_passed,,True,
bu,2021,trading_sessions,covered_passed,,True,
bu,2022,main_contract_map_rank1,covered_passed,,True,
bu,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bu,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
