batch_id,profile_id,instrument_symbol,contract_code,period,binding_id,previous_binding_id,previous_market_data_file_id,next_market_data_file_id,previous_data_version,next_data_version,applied_at,operator,committed,candidate_sha256,expected_before_sha256,candidate_count
profile-rollout-intraday-008b-003,intraday_research_v1,l,l.MAIN,1m,4609,472,56011,82774,rqdata_l_standard_1m_20230103_20260711_v2,rqdata_l_standard_1m_20070731_20260711_v2,2026-07-18T03:43:13.995664+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,l_f,l_f.MAIN,1m,4610,478,56012,71660,rqdata_l_f_standard_1m_20230103_20260711_v2,rqdata_l_f_standard_1m_20230103_20260712_v2,2026-07-18T03:43:14.000416+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,lc,lc.MAIN,1m,4611,484,56013,71663,rqdata_lc_standard_1m_20230103_20260711_v2,rqdata_lc_standard_1m_20230103_20260712_v2,2026-07-18T03:43:14.007416+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,lg,lg.MAIN,1m,4612,490,56014,71666,rqdata_lg_standard_1m_20230103_20260711_v2,rqdata_lg_standard_1m_20230103_20260712_v2,2026-07-18T03:43:14.012599+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,lh,lh.MAIN,1m,4613,496,56015,71546,rqdata_lh_standard_1m_20230103_20260711_v2,rqdata_lh_standard_1m_20210108_20260711_v2,2026-07-18T03:43:14.019582+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,lu,lu.MAIN,1m,4614,502,56016,71525,rqdata_lu_standard_1m_20230103_20260711_v2,rqdata_lu_standard_1m_20200622_20260711_v2,2026-07-18T03:43:14.029735+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,m,m.MAIN,1m,4615,508,56017,82764,rqdata_m_standard_1m_20230103_20260711_v2,rqdata_m_standard_1m_20000717_20260711_v2,2026-07-18T03:43:14.047932+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,ma,ma.MAIN,1m,4616,514,56018,82754,rqdata_ma_standard_1m_20230103_20260711_v2,rqdata_ma_standard_1m_20140617_20260711_v2,2026-07-18T03:43:14.063923+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,ni,ni.MAIN,1m,4617,520,56019,82748,rqdata_ni_standard_1m_20230103_20260711_v2,rqdata_ni_standard_1m_20150327_20260711_v2,2026-07-18T03:43:14.089611+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,nr,nr.MAIN,1m,4618,526,56020,82736,rqdata_nr_standard_1m_20230103_20260711_v2,rqdata_nr_standard_1m_20190812_20260711_v2,2026-07-18T03:43:14.104571+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,oi,oi.MAIN,1m,4619,532,56021,82785,rqdata_oi_standard_1m_20230103_20260711_v2,rqdata_oi_standard_1m_20120716_20260711_v2,2026-07-18T03:43:14.124207+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
