classification,product,actual_contract,period,covered_years,target_row_count,standard_path,physical_exists,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,physical_checksum,physical_file_size_bytes,physical_error,manifest_row_count,manifest_data_version,manifest_quality_status,manifest_checksum,db_exact_path_count,db_market_data_file_ids,db_data_versions,db_quality_report_ids,db_quality_report_statuses,db_identity_match_count,issues
already_registered,pp_f,PP2603F,1m,2025,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=PP2603F/PP2603F_1m_20251124_20251124.parquet,True,345,2025-11-21T21:01:00,2025-11-24T15:00:00,4d7b27d9535c2ee31aeae8924bcfabe4117d04ee233dbc9299179d903b872a9c,19624,,1,rq_acb_pp_f_PP2603F_1m_20251124_20251124_v1,passed,4d7b27d9535c2ee31aeae8924bcfabe4117d04ee233dbc9299179d903b872a9c,1,45996,rq_acb_pp_f_PP2603F_1m_20251124_20251124_v1,46155,passed,1,
already_registered,pp_f,PP2604F,1m,2025|2026,2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=PP2604F/PP2604F_1m_20251125_20260119.parquet,True,12990,2025-11-24T21:01:00,2026-01-19T15:00:00,48e647fd8125bfdfdbb4dcbf200541f87de3b0e8d8ca4fa486ba78db89c950b8,200918,,1,rq_acb_pp_f_PP2604F_1m_20251125_20260119_v1,passed,48e647fd8125bfdfdbb4dcbf200541f87de3b0e8d8ca4fa486ba78db89c950b8,1,46002,rq_acb_pp_f_PP2604F_1m_20251125_20260119_v1,46160,passed,1,
already_registered,pp_f,PP2605F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=PP2605F/PP2605F_1m_20260120_20260417.parquet,True,19425,2026-01-19T21:01:00,2026-04-17T15:00:00,8ebed73ff55ebbfe5363b3abd6f43d2fa629f597b4244904533f803a5296913d,428888,,1,rq_acb_pp_f_PP2605F_1m_20260120_20260417_v1,passed,8ebed73ff55ebbfe5363b3abd6f43d2fa629f597b4244904533f803a5296913d,1,46008,rq_acb_pp_f_PP2605F_1m_20260120_20260417_v1,46165,passed,1,
already_registered,pp_f,PP2609F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=PP2609F/PP2609F_1m_20260401_20260707.parquet,True,22065,2026-03-31T21:01:00,2026-07-07T15:00:00,4f0e1195ad941c9c0bb932068775fa95066cccefe11f019c32cc636409aab73c,509768,,1,rq_acb_pp_f_PP2609F_1m_20260401_20260707_v1,passed,4f0e1195ad941c9c0bb932068775fa95066cccefe11f019c32cc636409aab73c,1,34260,rq_acb_pp_f_PP2609F_1m_20260401_20260707_v1,35958,passed,1,
already_registered,v_f,V2602F,1m,2025|2026,2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=v_f/contract=V2602F/V2602F_1m_20251029_20260108.parquet,True,17010,2025-10-29T09:01:00,2026-01-08T15:00:00,95a69ca8dd7a78ae8201000d6ecff5fdeef116d7b400e7b708bc533d7e996b7b,308033,,1,rq_acb_v_f_V2602F_1m_20251029_20260108_v1,passed,95a69ca8dd7a78ae8201000d6ecff5fdeef116d7b400e7b708bc533d7e996b7b,1,48072,rq_acb_v_f_V2602F_1m_20251029_20260108_v1,47885,passed,1,
already_registered,v_f,V2603F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=v_f/contract=V2603F/V2603F_1m_20260109_20260113.parquet,True,1035,2026-01-08T21:01:00,2026-01-13T15:00:00,748dc7d60ed483df334f17658561535d5ad7b6dc32267375bbd09e39ae7a3b0e,30384,,1,rq_acb_v_f_V2603F_1m_20260109_20260113_v1,passed,748dc7d60ed483df334f17658561535d5ad7b6dc32267375bbd09e39ae7a3b0e,1,48078,rq_acb_v_f_V2603F_1m_20260109_20260113_v1,47890,passed,1,
already_registered,v_f,V2605F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=v_f/contract=V2605F/V2605F_1m_20260114_20260414.parquet,True,19770,2026-01-13T21:01:00,2026-04-14T15:00:00,0300bc559bbd3be16086dbe1c45d1056cacfe590b6083c65bfdb64099c343c72,420579,,1,rq_acb_v_f_V2605F_1m_20260114_20260414_v1,passed,0300bc559bbd3be16086dbe1c45d1056cacfe590b6083c65bfdb64099c343c72,1,48084,rq_acb_v_f_V2605F_1m_20260114_20260414_v1,47895,passed,1,
already_registered,v_f,V2606F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=v_f/contract=V2606F/V2606F_1m_20260415_20260424.parquet,True,2760,2026-04-14T21:01:00,2026-04-24T15:00:00,79664e0b6739957c8d76bcda992df90b2c896db3119763ea1e48df1edfb70324,68349,,1,rq_acb_v_f_V2606F_1m_20260415_20260424_v1,passed,79664e0b6739957c8d76bcda992df90b2c896db3119763ea1e48df1edfb70324,1,48090,rq_acb_v_f_V2606F_1m_20260415_20260424_v1,47900,passed,1,
already_registered,v_f,V2609F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=v_f/contract=V2609F/V2609F_1m_20260401_20260707.parquet,True,22065,2026-03-31T21:01:00,2026-07-07T15:00:00,676ae62ebe26a26b98cbc83989f019f85ef2d64845d904659a99cf91533ed5f1,500815,,1,rq_acb_v_f_V2609F_1m_20260401_20260707_v1,passed,676ae62ebe26a26b98cbc83989f019f85ef2d64845d904659a99cf91533ed5f1,1,34456,rq_acb_v_f_V2609F_1m_20260401_20260707_v1,36180,passed,1,
already_registered,l_f,L2602F,30m,2025,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=l_f/contract=L2602F/L2602F_30m_20251029_20251226.parquet,True,512,2025-10-29T09:30:00,2025-12-26T15:00:00,747a94ea2b9fe2b9b1a7601471c9f2d9da7a26d0aed916265deffe3e49f9972b,33427,,1,rq_acb_l_f_L2602F_30m_20251029_20251226_v1,passed,747a94ea2b9fe2b9b1a7601471c9f2d9da7a26d0aed916265deffe3e49f9972b,1,50127,rq_acb_l_f_L2602F_30m_20251029_20251226_v1,49598,passed,1,
