product,actual_contracts,active_actual_periods,stage9_status,blocked_reasons
ih,"IH2001,IH2002,IH2003,IH2004,IH2005,IH2006,IH2007,IH2008,IH2009,IH2010,IH2011,IH2012,IH2101,IH2102,IH2103,IH2104,IH2105,IH2106,IH2107,IH2108,IH2109,IH2110,IH2111,IH2112,IH2201,IH2202,IH2203,IH2204,IH2205,IH2206,IH2207,IH2208,IH2209,IH2210,IH2211,IH2212,IH2301,IH2607",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
im,"IM2208,IM2209,IM2210,IM2211,IM2212,IM2301,IM2607",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
j,"J2005,J2009,J2101,J2105,J2109,J2201,J2205,J2209,J2301,J2305,J2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:J2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
jd,"JD2005,JD2006,JD2007,JD2009,JD2010,JD2011,JD2101,JD2105,JD2109,JD2201,JD2205,JD2209,JD2301,JD2305,JD2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
jm,"JM2005,JM2009,JM2101,JM2105,JM2109,JM2201,JM2205,JM2209,JM2301,JM2305,JM2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
jr,"JR2001,JR2003,JR2007,JR2009,JR2101,JR2105,JR2109,JR2607",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
l,"L2005,L2009,L2101,L2105,L2109,L2201,L2205,L2209,L2301,L2305,L2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:L2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
l_f,L2609F,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
lc,LC2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
lg,LG2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
lh,"LH2109,LH2201,LH2203,LH2205,LH2209,LH2301,LH2303,LH2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
lu,"LU2101,LU2103,LU2104,LU2105,LU2106,LU2107,LU2108,LU2109,LU2110,LU2111,LU2112,LU2201,LU2202,LU2203,LU2204,LU2205,LU2206,LU2207,LU2208,LU2209,LU2210,LU2211,LU2212,LU2301,LU2302,LU2303,LU2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
m,"M2005,M2009,M2101,M2105,M2109,M2201,M2205,M2209,M2301,M2305,M2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ma,"MA2005,MA2009,MA2101,MA2105,MA2109,MA2201,MA2205,MA2209,MA2301,MA2305,MA2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:MA2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
ni,"NI2003,NI2004,NI2006,NI2007,NI2008,NI2010,NI2011,NI2012,NI2102,NI2103,NI2104,NI2106,NI2107,NI2108,NI2109,NI2110,NI2111,NI2112,NI2202,NI2203,NI2204,NI2205,NI2206,NI2207,NI2208,NI2209,NI2210,NI2211,NI2212,NI2301,NI2302,NI2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:NI2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
nr,"NR2004,NR2005,NR2006,NR2007,NR2009,NR2010,NR2011,NR2012,NR2101,NR2102,NR2103,NR2104,NR2105,NR2106,NR2107,NR2108,NR2109,NR2110,NR2111,NR2112,NR2201,NR2202,NR2203,NR2204,NR2205,NR2206,NR2207,NR2208,NR2209,NR2210,NR2211,NR2212,NR2301,NR2302,NR2303,NR2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
