profile,product,contract,period,binding_status,final_classification,classification_source,binding_id,contract_role,data_version,market_data_file_id,quality_policy
intraday_research_v1,bu,bu.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,331.0,dominant_main,rqdata_bu_standard_60m_20230103_20260711_v2,56117.0,passed_only
intraday_research_v1,bz,bz.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,332.0,dominant_main,rqdata_bz_standard_15m_20230103_20260711_v2,56119.0,passed_only
intraday_research_v1,bz,bz.MAIN,1d,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,333.0,dominant_main,rqdata_bz_standard_1d_20230103_20260711_v2,55820.0,passed_only
intraday_research_v1,bz,bz.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,334.0,dominant_main,rqdata_bz_standard_1m_20230103_20260711_v2,55988.0,passed_only
intraday_research_v1,bz,bz.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,335.0,dominant_main,rqdata_bz_standard_30m_20230103_20260711_v2,56120.0,passed_only
intraday_research_v1,bz,bz.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,336.0,dominant_main,rqdata_bz_standard_5m_20230103_20260711_v2,56118.0,passed_only
intraday_research_v1,bz,bz.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,337.0,dominant_main,rqdata_bz_standard_60m_20230103_20260711_v2,56121.0,passed_only
intraday_research_v1,c,c.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,338.0,dominant_main,rqdata_c_standard_15m_20230103_20260711_v2,56123.0,passed_only
intraday_research_v1,c,c.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,339.0,dominant_main,rqdata_c_standard_1d_20200102_20260711_v2,56444.0,passed_only
intraday_research_v1,c,c.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,340.0,dominant_main,rqdata_c_standard_1m_20230103_20260711_v2,55989.0,passed_only
intraday_research_v1,c,c.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,341.0,dominant_main,rqdata_c_standard_30m_20230103_20260711_v2,56124.0,passed_only
intraday_research_v1,c,c.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,342.0,dominant_main,rqdata_c_standard_5m_20230103_20260711_v2,56122.0,passed_only
intraday_research_v1,c,c.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,343.0,dominant_main,rqdata_c_standard_60m_20230103_20260711_v2,56125.0,passed_only
intraday_research_v1,cf,cf.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,344.0,dominant_main,rqdata_cf_standard_15m_20230103_20260711_v2,56127.0,passed_only
intraday_research_v1,cf,cf.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,345.0,dominant_main,rqdata_cf_standard_1d_20200102_20260711_v2,56446.0,passed_only
intraday_research_v1,cf,cf.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,346.0,dominant_main,rqdata_cf_standard_1m_20230103_20260711_v2,55990.0,passed_only
intraday_research_v1,cf,cf.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,347.0,dominant_main,rqdata_cf_standard_30m_20230103_20260711_v2,56128.0,passed_only
intraday_research_v1,cf,cf.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,348.0,dominant_main,rqdata_cf_standard_5m_20230103_20260711_v2,56126.0,passed_only
intraday_research_v1,cf,cf.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,349.0,dominant_main,rqdata_cf_standard_60m_20230103_20260711_v2,56129.0,passed_only
intraday_research_v1,cj,cj.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,350.0,dominant_main,rqdata_cj_standard_15m_20230103_20260711_v2,56131.0,passed_only
intraday_research_v1,cj,cj.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,351.0,dominant_main,rqdata_cj_standard_1d_20200102_20260711_v2,56448.0,passed_only
intraday_research_v1,cj,cj.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,352.0,dominant_main,rqdata_cj_standard_1m_20230103_20260711_v2,55991.0,passed_only
intraday_research_v1,cj,cj.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,353.0,dominant_main,rqdata_cj_standard_30m_20230103_20260711_v2,56132.0,passed_only
intraday_research_v1,cj,cj.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,354.0,dominant_main,rqdata_cj_standard_5m_20230103_20260711_v2,56130.0,passed_only
intraday_research_v1,cj,cj.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,355.0,dominant_main,rqdata_cj_standard_60m_20230103_20260711_v2,56133.0,passed_only
intraday_research_v1,cs,cs.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,356.0,dominant_main,rqdata_cs_standard_15m_20230103_20260711_v2,56135.0,passed_only
intraday_research_v1,cs,cs.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,357.0,dominant_main,rqdata_cs_standard_1d_20200102_20260711_v2,56450.0,passed_only
intraday_research_v1,cs,cs.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,358.0,dominant_main,rqdata_cs_standard_1m_20230103_20260711_v2,55992.0,passed_only
intraday_research_v1,cs,cs.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,359.0,dominant_main,rqdata_cs_standard_30m_20230103_20260711_v2,56136.0,passed_only
intraday_research_v1,cs,cs.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,360.0,dominant_main,rqdata_cs_standard_5m_20230103_20260711_v2,56134.0,passed_only
intraday_research_v1,cs,cs.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,361.0,dominant_main,rqdata_cs_standard_60m_20230103_20260711_v2,56137.0,passed_only
