product,contract,period,dedupe_key,final_classification,classification_source,conflicting_fields,contract_role,file_count,occurrence_count,value_ranges
eg,EG2609,1d,2026-05-18,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [4758.0, 4770.0], 'close': None, 'volume': [214841.0, 312214.0]}"
eg,EG2609,1d,2026-05-25,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [4507.0, 4515.0], 'close': None, 'volume': [416475.0, 540830.0]}"
eg,EG2609,1d,2026-06-01,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [4436.0, 4460.0], 'close': None, 'volume': [226542.0, 361024.0]}"
eg,EG2609,1d,2026-06-08,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [4450.0, 4485.0], 'close': None, 'volume': [383412.0, 503604.0]}"
eg,EG2609,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [4560.0, 4668.0], 'close': None, 'volume': [492202.0, 734374.0]}"
eg,EG2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [4013.0, 4040.0], 'close': None, 'volume': [203942.0, 290290.0]}"
eg,EG2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3982.0, 4000.0], 'close': None, 'volume': [174965.0, 249619.0]}"
fg,FG2609,1d,2026-04-20,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [1078.0, 1081.0], 'close': None, 'volume': [521734.0, 931590.0]}"
fg,FG2609,1d,2026-04-27,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [1078.0, 1084.0], 'close': None, 'volume': [537845.0, 856462.0]}"
fg,FG2609,1d,2026-05-11,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [1053.0, 1059.0], 'close': None, 'volume': [614358.0, 906920.0]}"
fg,FG2609,1d,2026-05-18,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [1038.0, 1039.0], 'close': None, 'volume': [901218.0, 1103847.0]}"
fg,FG2609,1d,2026-05-25,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [1023.0, 1035.0], 'close': None, 'volume': [1023724.0, 1239590.0]}"
fg,FG2609,1d,2026-06-01,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [1051.0, 1059.0], 'close': None, 'volume': [624832.0, 1113153.0]}"
fg,FG2609,1d,2026-06-08,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [1008.0, 1011.0], 'close': None, 'volume': [740037.0, 1112470.0]}"
fg,FG2609,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [988.0, 1007.0], 'close': None, 'volume': [1280288.0, 2232118.0]}"
fg,FG2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [970.0, 976.0], 'close': None, 'volume': [689977.0, 1083034.0]}"
fg,FG2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [977.0, 982.0], 'close': None, 'volume': [740604.0, 1185054.0]}"
fu,FU2609,1d,2026-05-18,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [4155.0, 4159.0], 'close': None, 'volume': [154221.0, 230246.0]}"
fu,FU2609,1d,2026-05-25,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [3949.0, 4060.0], 'close': None, 'volume': [267342.0, 390623.0]}"
fu,FU2609,1d,2026-06-01,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3768.0, 3830.0], 'close': None, 'volume': [165733.0, 269445.0]}"
fu,FU2609,1d,2026-06-08,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3827.0, 3850.0], 'close': None, 'volume': [278328.0, 394525.0]}"
fu,FU2609,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [3425.0, 3597.0], 'close': None, 'volume': [261140.0, 397955.0]}"
fu,FU2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [2931.0, 2955.0], 'close': None, 'volume': [371642.0, 589240.0]}"
fu,FU2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [2914.0, 2934.0], 'close': None, 'volume': [272510.0, 410801.0]}"
hc,HC2610,1d,2026-04-13,covered_warning,cross_file_conflict,['volume'],actual_contract,2,2,"{'open': None, 'close': None, 'volume': [185032.0, 251877.0]}"
hc,HC2610,1d,2026-04-20,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3319.0, 3320.0], 'close': None, 'volume': [583771.0, 682169.0]}"
hc,HC2610,1d,2026-04-27,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [3390.0, 3400.0], 'close': None, 'volume': [223668.0, 612323.0]}"
hc,HC2610,1d,2026-05-11,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3473.0, 3494.0], 'close': None, 'volume': [377524.0, 564202.0]}"
hc,HC2610,1d,2026-05-18,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [3445.0, 3446.0], 'close': None, 'volume': [314673.0, 459730.0]}"
hc,HC2610,1d,2026-05-25,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3385.0, 3430.0], 'close': None, 'volume': [674505.0, 777375.0]}"
hc,HC2610,1d,2026-06-01,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3382.0, 3385.0], 'close': None, 'volume': [357813.0, 431402.0]}"
hc,HC2610,1d,2026-06-08,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [3384.0, 3389.0], 'close': None, 'volume': [223181.0, 365267.0]}"
hc,HC2610,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3375.0, 3391.0], 'close': None, 'volume': [369113.0, 537489.0]}"
hc,HC2610,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [3307.0, 3310.0], 'close': None, 'volume': [238645.0, 335420.0]}"
hc,HC2610,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3283.0, 3291.0], 'close': None, 'volume': [233202.0, 369880.0]}"
i,I2609,1d,2026-04-13,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [753.0, 757.5], 'close': None, 'volume': [161346.0, 205991.0]}"
i,I2609,1d,2026-04-20,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [775.0, 777.5], 'close': None, 'volume': [182279.0, 290399.0]}"
i,I2609,1d,2026-04-27,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [785.0, 786.0], 'close': None, 'volume': [102758.0, 207979.0]}"
i,I2609,1d,2026-05-11,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [816.0, 818.0], 'close': None, 'volume': [198402.0, 261177.0]}"
i,I2609,1d,2026-05-18,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [806.0, 809.5], 'close': None, 'volume': [146203.0, 225052.0]}"
i,I2609,1d,2026-05-25,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [790.5, 800.0], 'close': None, 'volume': [250954.0, 295875.0]}"
i,I2609,1d,2026-06-01,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [781.0, 782.0], 'close': None, 'volume': [148388.0, 225336.0]}"
i,I2609,1d,2026-06-08,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [765.0, 766.0], 'close': None, 'volume': [153384.0, 253919.0]}"
i,I2609,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [764.0, 765.0], 'close': None, 'volume': [187400.0, 243130.0]}"
i,I2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [744.5, 745.0], 'close': None, 'volume': [136062.0, 220870.0]}"
i,I2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [733.0, 739.0], 'close': None, 'volume': [123349.0, 187850.0]}"
j,J2609,1d,2026-04-27,covered_warning,cross_file_conflict,"['open', 'high', 'low', 'volume']",actual_contract,2,2,"{'open': [1840.5, 1850.0], 'close': None, 'volume': [6630.0, 13325.0]}"
