product,asset_scope,contract,period,gate_status,blocked_reasons,manifest_status,manifest_quality_status,manifest_data_role,manifest_row_count,db_market_data_file_id,db_quality_status,db_row_count,data_quality_report_status,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,standard_path
al,actual_contract,AL2608,1d,active_passed,,success,passed,primary,11,41326.0,passed,11.0,passed,11,2026-06-23T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2608/AL2608_1d_20260623_20260707.parquet
ao,dominant_main,ao.MAIN,1d,active_passed,,success,passed,primary,738,40911.0,passed,738.0,passed,738,2023-06-19T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1d_20230103_20260707_v2.parquet
ao,actual_contract,AO2311,1d,active_passed,,success,passed,primary,70,41330.0,passed,70.0,passed,70,2023-06-19T00:00:00,2023-09-26T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2311/AO2311_1d_20230619_20230926.parquet
ao,actual_contract,AO2312,1d,active_passed,,success,passed,primary,17,41332.0,passed,17.0,passed,17,2023-09-27T00:00:00,2023-10-27T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2312/AO2312_1d_20230927_20231027.parquet
ao,actual_contract,AO2401,1d,active_passed,,success,passed,primary,22,41334.0,passed,22.0,passed,22,2023-10-30T00:00:00,2023-11-28T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2401/AO2401_1d_20231030_20231128.parquet
ao,actual_contract,AO2402,1d,active_passed,,success,passed,primary,20,41336.0,passed,20.0,passed,20,2023-11-29T00:00:00,2023-12-26T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2402/AO2402_1d_20231129_20231226.parquet
ao,actual_contract,AO2403,1d,active_passed,,success,passed,primary,34,41338.0,passed,34.0,passed,34,2023-12-27T00:00:00,2024-02-21T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2403/AO2403_1d_20231227_20240221.parquet
ao,actual_contract,AO2404,1d,active_passed,,success,passed,primary,16,41340.0,passed,16.0,passed,16,2024-02-22T00:00:00,2024-03-14T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2404/AO2404_1d_20240222_20240314.parquet
ao,actual_contract,AO2405,1d,active_passed,,success,passed,primary,19,41342.0,passed,19.0,passed,19,2024-03-15T00:00:00,2024-04-12T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2405/AO2405_1d_20240315_20240412.parquet
ao,actual_contract,AO2406,1d,active_passed,,success,passed,primary,12,41344.0,passed,12.0,passed,12,2024-04-15T00:00:00,2024-04-30T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2406/AO2406_1d_20240415_20240430.parquet
ao,actual_contract,AO2407,1d,active_passed,,success,passed,primary,28,41346.0,passed,28.0,passed,28,2024-05-06T00:00:00,2024-06-13T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2407/AO2407_1d_20240506_20240613.parquet
ao,actual_contract,AO2408,1d,active_passed,,success,passed,primary,14,41348.0,passed,14.0,passed,14,2024-06-14T00:00:00,2024-07-03T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2408/AO2408_1d_20240614_20240703.parquet
ao,actual_contract,AO2409,1d,active_passed,,success,passed,primary,24,41350.0,passed,24.0,passed,24,2024-07-04T00:00:00,2024-08-06T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2409/AO2409_1d_20240704_20240806.parquet
ao,actual_contract,AO2410,1d,active_passed,,success,passed,primary,19,41352.0,passed,19.0,passed,19,2024-08-07T00:00:00,2024-09-02T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2410/AO2410_1d_20240807_20240902.parquet
ao,actual_contract,AO2411,1d,active_passed,,success,passed,primary,24,41354.0,passed,24.0,passed,24,2024-09-03T00:00:00,2024-10-15T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2411/AO2411_1d_20240903_20241015.parquet
ao,actual_contract,AO2412,1d,active_passed,,success,passed,primary,4,41356.0,passed,4.0,passed,4,2024-10-16T00:00:00,2024-10-21T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2412/AO2412_1d_20241016_20241021.parquet
ao,actual_contract,AO2501,1d,active_passed,,success,passed,primary,43,41358.0,passed,43.0,passed,43,2024-10-22T00:00:00,2024-12-19T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2501/AO2501_1d_20241022_20241219.parquet
ao,actual_contract,AO2502,1d,active_passed,,success,passed,primary,21,41360.0,passed,21.0,passed,21,2024-12-20T00:00:00,2025-01-20T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2502/AO2502_1d_20241220_20250120.parquet
ao,actual_contract,AO2505,1d,active_passed,,success,passed,primary,54,41362.0,passed,54.0,passed,54,2025-01-21T00:00:00,2025-04-15T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2505/AO2505_1d_20250121_20250415.parquet
ao,actual_contract,AO2509,1d,active_passed,,success,passed,primary,81,41364.0,passed,81.0,passed,81,2025-04-16T00:00:00,2025-08-12T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2509/AO2509_1d_20250416_20250812.parquet
ao,actual_contract,AO2601,1d,active_passed,,success,passed,primary,86,41366.0,passed,86.0,passed,86,2025-08-13T00:00:00,2025-12-18T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2601/AO2601_1d_20250813_20251218.parquet
ao,actual_contract,AO2602,1d,active_passed,,success,passed,primary,5,41368.0,passed,5.0,passed,5,2025-12-19T00:00:00,2025-12-25T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2602/AO2602_1d_20251219_20251225.parquet
ao,actual_contract,AO2605,1d,active_passed,,success,passed,primary,70,41370.0,passed,70.0,passed,70,2025-12-26T00:00:00,2026-04-15T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2605/AO2605_1d_20251226_20260415.parquet
ao,actual_contract,AO2609,1d,active_passed,,success,passed,primary,76,33901.0,passed,76.0,passed,76,2026-04-01T15:00:00,2026-07-07T15:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2609/AO2609_1d_20260401_20260707.parquet
