product,interface_name,dataset_name,start_date,end_date,expected_end,raw_files_count,raw_rows,indexed_files,indexed_rows,db_rows,status
cu,get_warehouse_stocks,futures_warehouse_stocks,2006-01-06,2026-06-24,2026-06-24,0,0,0,0,4441,ok
cu,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
cu,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
cu,get_dominant_price_1d,dominant_daily_baseline,2010-01-04,2026-06-24,2026-06-24,96,228151,1,3998,,ok
cu,get_dominant_price_samples,market_sample,2010-01-04,2026-06-24,2026-06-24,0,0,5,2104960,,ok
al,get_dominant_rank1,main_contract_map,2005-01-04,2026-07-07,2026-06-24,0,0,0,0,5214,ok
al,get_dominant_rank2,main_contract_map,2005-01-04,2026-06-24,2026-06-24,0,0,0,0,5213,ok
al,get_ex_factor,futures_ex_factors,2005-02-17,2026-06-23,2026-06-24,0,0,0,0,251,ok
al,get_warehouse_stocks,futures_warehouse_stocks,2006-01-06,2026-06-24,2026-06-24,0,0,0,0,4441,ok
al,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
al,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
al,get_dominant_price_1d,dominant_daily_baseline,2010-01-04,2026-06-24,2026-06-24,96,228151,1,3998,,ok
al,get_dominant_price_samples,market_sample,2010-01-04,2026-06-24,2026-06-24,0,0,5,2104960,,ok
zn,get_dominant_rank1,main_contract_map,2007-03-26,2026-07-07,2026-06-24,0,0,0,0,4679,ok
zn,get_dominant_rank2,main_contract_map,2007-03-26,2026-06-24,2026-06-24,0,0,0,0,4678,ok
zn,get_ex_factor,futures_ex_factors,2007-03-26,2026-06-16,2026-06-24,0,0,0,0,230,ok
zn,get_warehouse_stocks,futures_warehouse_stocks,2007-04-06,2026-06-24,2026-06-24,0,0,0,0,4380,ok
zn,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
zn,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
zn,get_dominant_price_1d,dominant_daily_baseline,2010-01-04,2026-06-24,2026-06-24,96,228151,1,3998,,ok
zn,get_dominant_price_samples,market_sample,2010-01-04,2026-06-24,2026-06-24,0,0,5,2104960,,ok
pb,get_dominant_rank1,main_contract_map,2011-03-24,2026-07-07,2026-06-24,0,0,0,0,3705,ok
pb,get_dominant_rank2,main_contract_map,2011-03-24,2026-06-24,2026-06-24,0,0,0,0,3704,ok
pb,get_ex_factor,futures_ex_factors,2011-03-24,2026-06-18,2026-06-24,0,0,0,0,176,ok
pb,get_warehouse_stocks,futures_warehouse_stocks,2011-03-25,2026-06-24,2026-06-24,0,0,0,0,3703,ok
pb,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
pb,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
