action,reason,profile_id,instrument_symbol,contract_code,contract_role,period,binding_id,current_file_id,target_file_id,target_data_version
replace,data_role=superseded,intraday_research_v1,if,if.MAIN,dominant_main,30m,431,56184,71575,rqdata_if_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,if,if.MAIN,dominant_main,5m,432,56182,71573,rqdata_if_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,if,if.MAIN,dominant_main,60m,433,56185,71576,rqdata_if_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ih,ih.MAIN,dominant_main,15m,434,56187,71578,rqdata_ih_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ih,ih.MAIN,dominant_main,30m,437,56188,71579,rqdata_ih_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ih,ih.MAIN,dominant_main,5m,438,56186,71577,rqdata_ih_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ih,ih.MAIN,dominant_main,60m,439,56189,71580,rqdata_ih_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,im,im.MAIN,dominant_main,15m,440,56191,71642,rqdata_im_standard_15m_20220722_20260711_v2
replace,data_role=superseded,intraday_research_v1,im,im.MAIN,dominant_main,30m,443,56192,71643,rqdata_im_standard_30m_20220722_20260711_v2
replace,data_role=superseded,intraday_research_v1,im,im.MAIN,dominant_main,5m,444,56190,71641,rqdata_im_standard_5m_20220722_20260711_v2
replace,data_role=superseded,intraday_research_v1,im,im.MAIN,dominant_main,60m,445,56193,71644,rqdata_im_standard_60m_20220722_20260711_v2
replace,data_role=superseded,intraday_research_v1,j,j.MAIN,dominant_main,15m,446,56195,71434,rqdata_j_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,j,j.MAIN,dominant_main,30m,449,56196,71435,rqdata_j_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,j,j.MAIN,dominant_main,5m,450,56194,71433,rqdata_j_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,j,j.MAIN,dominant_main,60m,451,56197,71436,rqdata_j_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jd,jd.MAIN,dominant_main,15m,452,56199,71594,rqdata_jd_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jd,jd.MAIN,dominant_main,30m,455,56200,71595,rqdata_jd_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jd,jd.MAIN,dominant_main,5m,456,56198,71593,rqdata_jd_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jd,jd.MAIN,dominant_main,60m,457,56201,71596,rqdata_jd_standard_60m_20200102_20260711_v2
add,formal_actual_1m_binding_missing,intraday_research_v1,jm,JM2609,actual_contract,1m,,,103923,actual_dominant_roll_006_JM2609_1m_20260708_20260710_v1
replace,data_role=superseded,intraday_research_v1,jm,jm.MAIN,dominant_main,15m,458,56067,71338,rqdata_jm_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jm,jm.MAIN,dominant_main,30m,461,56068,71339,rqdata_jm_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jm,jm.MAIN,dominant_main,5m,462,56066,71337,rqdata_jm_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jm,jm.MAIN,dominant_main,60m,463,56069,71340,rqdata_jm_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jr,jr.MAIN,dominant_main,15m,464,56203,71598,rqdata_jr_standard_15m_20200102_20260711_v2
deactivate,data_role=superseded,intraday_research_v1,jr,jr.MAIN,dominant_main,1d,465,55864,,
replace,data_role=superseded,intraday_research_v1,jr,jr.MAIN,dominant_main,30m,467,56204,71599,rqdata_jr_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jr,jr.MAIN,dominant_main,5m,468,56202,71597,rqdata_jr_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,jr,jr.MAIN,dominant_main,60m,469,56205,71600,rqdata_jr_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,l,l.MAIN,dominant_main,15m,470,56207,71438,rqdata_l_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,l,l.MAIN,dominant_main,30m,473,56208,71439,rqdata_l_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,l,l.MAIN,dominant_main,5m,474,56206,71437,rqdata_l_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,l,l.MAIN,dominant_main,60m,475,56209,71440,rqdata_l_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,l_f,l_f.MAIN,dominant_main,15m,476,56211,71723,rqdata_l_f_standard_15m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,l_f,l_f.MAIN,dominant_main,1d,477,55868,71661,rqdata_l_f_standard_1d_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,l_f,l_f.MAIN,dominant_main,30m,479,56212,71724,rqdata_l_f_standard_30m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,l_f,l_f.MAIN,dominant_main,5m,480,56210,71722,rqdata_l_f_standard_5m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,l_f,l_f.MAIN,dominant_main,60m,481,56213,71725,rqdata_l_f_standard_60m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lc,lc.MAIN,dominant_main,15m,482,56215,71727,rqdata_lc_standard_15m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lc,lc.MAIN,dominant_main,1d,483,55870,71664,rqdata_lc_standard_1d_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lc,lc.MAIN,dominant_main,30m,485,56216,71728,rqdata_lc_standard_30m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lc,lc.MAIN,dominant_main,5m,486,56214,71726,rqdata_lc_standard_5m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lc,lc.MAIN,dominant_main,60m,487,56217,71729,rqdata_lc_standard_60m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lg,lg.MAIN,dominant_main,15m,488,56219,71731,rqdata_lg_standard_15m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lg,lg.MAIN,dominant_main,1d,489,55872,71667,rqdata_lg_standard_1d_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lg,lg.MAIN,dominant_main,30m,491,56220,71732,rqdata_lg_standard_30m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lg,lg.MAIN,dominant_main,5m,492,56218,71730,rqdata_lg_standard_5m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lg,lg.MAIN,dominant_main,60m,493,56221,71733,rqdata_lg_standard_60m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,lh,lh.MAIN,dominant_main,15m,494,56223,71634,rqdata_lh_standard_15m_20210108_20260711_v2
replace,data_role=superseded,intraday_research_v1,lh,lh.MAIN,dominant_main,30m,497,56224,71635,rqdata_lh_standard_30m_20210108_20260711_v2
replace,data_role=superseded,intraday_research_v1,lh,lh.MAIN,dominant_main,5m,498,56222,71633,rqdata_lh_standard_5m_20210108_20260711_v2
replace,data_role=superseded,intraday_research_v1,lh,lh.MAIN,dominant_main,60m,499,56225,71636,rqdata_lh_standard_60m_20210108_20260711_v2
replace,data_role=superseded,intraday_research_v1,lu,lu.MAIN,dominant_main,15m,500,56227,71550,rqdata_lu_standard_15m_20200622_20260711_v2
replace,data_role=superseded,intraday_research_v1,lu,lu.MAIN,dominant_main,30m,503,56228,71551,rqdata_lu_standard_30m_20200622_20260711_v2
replace,data_role=superseded,intraday_research_v1,lu,lu.MAIN,dominant_main,5m,504,56226,71549,rqdata_lu_standard_5m_20200622_20260711_v2
replace,data_role=superseded,intraday_research_v1,lu,lu.MAIN,dominant_main,60m,505,56229,71552,rqdata_lu_standard_60m_20200622_20260711_v2
replace,data_role=superseded,intraday_research_v1,m,m.MAIN,dominant_main,15m,506,56231,71442,rqdata_m_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,m,m.MAIN,dominant_main,30m,509,56232,71443,rqdata_m_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,m,m.MAIN,dominant_main,5m,510,56230,71441,rqdata_m_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,m,m.MAIN,dominant_main,60m,511,56233,71444,rqdata_m_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ma,ma.MAIN,dominant_main,15m,512,56235,71446,rqdata_ma_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ma,ma.MAIN,dominant_main,30m,515,56236,71447,rqdata_ma_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ma,ma.MAIN,dominant_main,5m,516,56234,71445,rqdata_ma_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ma,ma.MAIN,dominant_main,60m,517,56237,71448,rqdata_ma_standard_60m_20200102_20260711_v2
