profile_id,instrument_symbol,contract_code,period,group_key,block_reason,market_data_file_id,evidence_source
intraday_research_v1,cs,cs.MAIN,5m,cs|cs.MAIN|5m,frozen_baseline_reference,40978,rulebook
intraday_research_v1,cs,cs.MAIN,60m,cs|cs.MAIN|60m,frozen_baseline_reference,40981,rulebook
intraday_research_v1,cu,cu.MAIN,15m,cu|cu.MAIN|15m,frozen_baseline_reference,40985,rulebook
intraday_research_v1,cu,cu.MAIN,1d,cu|cu.MAIN|1d,frozen_baseline_reference,40988,rulebook
intraday_research_v1,cu,cu.MAIN,1m,cu|cu.MAIN|1m,frozen_baseline_reference,40983,rulebook
intraday_research_v1,cu,cu.MAIN,30m,cu|cu.MAIN|30m,frozen_baseline_reference,40986,rulebook
intraday_research_v1,cu,cu.MAIN,5m,cu|cu.MAIN|5m,frozen_baseline_reference,40984,rulebook
intraday_research_v1,cu,cu.MAIN,60m,cu|cu.MAIN|60m,frozen_baseline_reference,40987,rulebook
intraday_research_v1,cy,cy.MAIN,15m,cy|cy.MAIN|15m,frozen_baseline_reference,40991,rulebook
intraday_research_v1,cy,cy.MAIN,1d,cy|cy.MAIN|1d,frozen_baseline_reference,40994,rulebook
intraday_research_v1,cy,cy.MAIN,1m,cy|cy.MAIN|1m,frozen_baseline_reference,40989,rulebook
intraday_research_v1,cy,cy.MAIN,30m,cy|cy.MAIN|30m,frozen_baseline_reference,40992,rulebook
intraday_research_v1,cy,cy.MAIN,5m,cy|cy.MAIN|5m,frozen_baseline_reference,40990,rulebook
intraday_research_v1,cy,cy.MAIN,60m,cy|cy.MAIN|60m,frozen_baseline_reference,40993,rulebook
intraday_research_v1,eb,eb.MAIN,15m,eb|eb.MAIN|15m,frozen_baseline_reference,40997,rulebook
intraday_research_v1,eb,eb.MAIN,1d,eb|eb.MAIN|1d,frozen_baseline_reference,41000,rulebook
intraday_research_v1,eb,eb.MAIN,1m,eb|eb.MAIN|1m,frozen_baseline_reference,40995,rulebook
intraday_research_v1,eb,eb.MAIN,30m,eb|eb.MAIN|30m,frozen_baseline_reference,40998,rulebook
intraday_research_v1,eb,eb.MAIN,5m,eb|eb.MAIN|5m,frozen_baseline_reference,40996,rulebook
intraday_research_v1,eb,eb.MAIN,60m,eb|eb.MAIN|60m,frozen_baseline_reference,40999,rulebook
intraday_research_v1,ec,ec.MAIN,15m,ec|ec.MAIN|15m,frozen_baseline_reference,41003,rulebook
intraday_research_v1,ec,ec.MAIN,1d,ec|ec.MAIN|1d,frozen_baseline_reference,41006,rulebook
intraday_research_v1,ec,ec.MAIN,1m,ec|ec.MAIN|1m,frozen_baseline_reference,41001,rulebook
intraday_research_v1,ec,ec.MAIN,30m,ec|ec.MAIN|30m,frozen_baseline_reference,41004,rulebook
intraday_research_v1,ec,ec.MAIN,5m,ec|ec.MAIN|5m,frozen_baseline_reference,41002,rulebook
intraday_research_v1,ec,ec.MAIN,60m,ec|ec.MAIN|60m,frozen_baseline_reference,41005,rulebook
intraday_research_v1,eg,eg.MAIN,15m,eg|eg.MAIN|15m,frozen_baseline_reference,41009,rulebook
intraday_research_v1,eg,eg.MAIN,1d,eg|eg.MAIN|1d,frozen_baseline_reference,41012,rulebook
intraday_research_v1,eg,eg.MAIN,1m,eg|eg.MAIN|1m,frozen_baseline_reference,41007,rulebook
intraday_research_v1,eg,eg.MAIN,30m,eg|eg.MAIN|30m,frozen_baseline_reference,41010,rulebook
intraday_research_v1,eg,eg.MAIN,5m,eg|eg.MAIN|5m,frozen_baseline_reference,41008,rulebook
intraday_research_v1,eg,eg.MAIN,60m,eg|eg.MAIN|60m,frozen_baseline_reference,41011,rulebook
intraday_research_v1,fb,fb.MAIN,15m,fb|fb.MAIN|15m,frozen_baseline_reference,41015,rulebook
intraday_research_v1,fb,fb.MAIN,1d,fb|fb.MAIN|1d,frozen_baseline_reference,41018,rulebook
intraday_research_v1,fb,fb.MAIN,1d,fb|fb.MAIN|1d,quality_policy_violation,56460,rulebook
intraday_research_v1,fb,fb.MAIN,1m,fb|fb.MAIN|1m,frozen_baseline_reference,41013,rulebook
intraday_research_v1,fb,fb.MAIN,30m,fb|fb.MAIN|30m,frozen_baseline_reference,41016,rulebook
intraday_research_v1,fb,fb.MAIN,5m,fb|fb.MAIN|5m,frozen_baseline_reference,41014,rulebook
intraday_research_v1,fb,fb.MAIN,60m,fb|fb.MAIN|60m,frozen_baseline_reference,41017,rulebook
intraday_research_v1,fg,fg.MAIN,15m,fg|fg.MAIN|15m,frozen_baseline_reference,41021,rulebook
intraday_research_v1,fg,fg.MAIN,1d,fg|fg.MAIN|1d,frozen_baseline_reference,41024,rulebook
intraday_research_v1,fg,fg.MAIN,1m,fg|fg.MAIN|1m,frozen_baseline_reference,41019,rulebook
intraday_research_v1,fg,fg.MAIN,30m,fg|fg.MAIN|30m,frozen_baseline_reference,41022,rulebook
intraday_research_v1,fg,fg.MAIN,5m,fg|fg.MAIN|5m,frozen_baseline_reference,41020,rulebook
intraday_research_v1,fg,fg.MAIN,60m,fg|fg.MAIN|60m,frozen_baseline_reference,41023,rulebook
intraday_research_v1,fu,fu.MAIN,15m,fu|fu.MAIN|15m,frozen_baseline_reference,41027,rulebook
intraday_research_v1,fu,fu.MAIN,1d,fu|fu.MAIN|1d,frozen_baseline_reference,41030,rulebook
intraday_research_v1,fu,fu.MAIN,1m,fu|fu.MAIN|1m,frozen_baseline_reference,41025,rulebook
intraday_research_v1,fu,fu.MAIN,30m,fu|fu.MAIN|30m,frozen_baseline_reference,41028,rulebook
intraday_research_v1,fu,fu.MAIN,5m,fu|fu.MAIN|5m,frozen_baseline_reference,41026,rulebook
intraday_research_v1,fu,fu.MAIN,60m,fu|fu.MAIN|60m,frozen_baseline_reference,41029,rulebook
intraday_research_v1,hc,hc.MAIN,15m,hc|hc.MAIN|15m,frozen_baseline_reference,41033,rulebook
intraday_research_v1,hc,hc.MAIN,1d,hc|hc.MAIN|1d,frozen_baseline_reference,41036,rulebook
intraday_research_v1,hc,hc.MAIN,1m,hc|hc.MAIN|1m,frozen_baseline_reference,41031,rulebook
intraday_research_v1,hc,hc.MAIN,30m,hc|hc.MAIN|30m,frozen_baseline_reference,41034,rulebook
intraday_research_v1,hc,hc.MAIN,5m,hc|hc.MAIN|5m,frozen_baseline_reference,41032,rulebook
intraday_research_v1,hc,hc.MAIN,60m,hc|hc.MAIN|60m,frozen_baseline_reference,41035,rulebook
intraday_research_v1,i,i.MAIN,15m,i|i.MAIN|15m,frozen_baseline_reference,41039,rulebook
intraday_research_v1,i,i.MAIN,1d,i|i.MAIN|1d,frozen_baseline_reference,41042,rulebook
intraday_research_v1,i,i.MAIN,1m,i|i.MAIN|1m,frozen_baseline_reference,41037,rulebook
intraday_research_v1,i,i.MAIN,30m,i|i.MAIN|30m,frozen_baseline_reference,41040,rulebook
intraday_research_v1,i,i.MAIN,5m,i|i.MAIN|5m,frozen_baseline_reference,41038,rulebook
intraday_research_v1,i,i.MAIN,60m,i|i.MAIN|60m,frozen_baseline_reference,41041,rulebook
intraday_research_v1,ic,ic.MAIN,15m,ic|ic.MAIN|15m,frozen_baseline_reference,41045,rulebook
intraday_research_v1,ic,ic.MAIN,1d,ic|ic.MAIN|1d,frozen_baseline_reference,41048,rulebook
intraday_research_v1,ic,ic.MAIN,1m,ic|ic.MAIN|1m,frozen_baseline_reference,41043,rulebook
intraday_research_v1,ic,ic.MAIN,30m,ic|ic.MAIN|30m,frozen_baseline_reference,41046,rulebook
intraday_research_v1,ic,ic.MAIN,5m,ic|ic.MAIN|5m,frozen_baseline_reference,41044,rulebook
intraday_research_v1,ic,ic.MAIN,60m,ic|ic.MAIN|60m,frozen_baseline_reference,41047,rulebook
intraday_research_v1,if,if.MAIN,15m,if|if.MAIN|15m,frozen_baseline_reference,41051,rulebook
intraday_research_v1,if,if.MAIN,1d,if|if.MAIN|1d,frozen_baseline_reference,41054,rulebook
intraday_research_v1,if,if.MAIN,1m,if|if.MAIN|1m,frozen_baseline_reference,41049,rulebook
intraday_research_v1,if,if.MAIN,30m,if|if.MAIN|30m,frozen_baseline_reference,41052,rulebook
intraday_research_v1,if,if.MAIN,5m,if|if.MAIN|5m,frozen_baseline_reference,41050,rulebook
intraday_research_v1,if,if.MAIN,60m,if|if.MAIN|60m,frozen_baseline_reference,41053,rulebook
intraday_research_v1,ih,ih.MAIN,15m,ih|ih.MAIN|15m,frozen_baseline_reference,41057,rulebook
intraday_research_v1,ih,ih.MAIN,1d,ih|ih.MAIN|1d,frozen_baseline_reference,41060,rulebook
intraday_research_v1,ih,ih.MAIN,1m,ih|ih.MAIN|1m,frozen_baseline_reference,41055,rulebook
intraday_research_v1,ih,ih.MAIN,30m,ih|ih.MAIN|30m,frozen_baseline_reference,41058,rulebook
