profile_id,instrument_symbol,contract_code,period,contract_role,candidate_status,market_data_file_id,data_version,rulebook_rank,block_reason,file_path,quality_status,disposition,evidence_source
intraday_research_v1,al,al.MAIN,1d,dominant_main,current,56430,rqdata_al_standard_1d_20200102_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20200102_20260711_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,al,al.MAIN,1d,dominant_main,excluded,55802,rqdata_al_standard_1d_20230103_20260711_v2,2,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,al,al.MAIN,1d,dominant_main,excluded,55577,rqdata_al_standard_1d_20230103_20260710_v2,3,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20230103_20260710_v2.parquet,passed,,rulebook
intraday_research_v1,al,al.MAIN,1m,dominant_main,blocked,40900,rqdata_al_standard_1m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,al,al.MAIN,1m,dominant_main,current,55979,rqdata_al_standard_1m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,al,al.MAIN,1m,dominant_main,excluded,55757,rqdata_al_standard_1m_20230103_20260710_v2,2,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20230103_20260710_v2.parquet,passed,,rulebook
intraday_research_v1,al,al.MAIN,30m,dominant_main,blocked,40903,rqdata_al_standard_30m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_30m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,al,al.MAIN,30m,dominant_main,current,56084,rqdata_al_standard_30m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_30m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,al,al.MAIN,5m,dominant_main,blocked,40901,rqdata_al_standard_5m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_5m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,al,al.MAIN,5m,dominant_main,current,56082,rqdata_al_standard_5m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_5m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,al,al.MAIN,60m,dominant_main,blocked,40904,rqdata_al_standard_60m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_60m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,al,al.MAIN,60m,dominant_main,current,56085,rqdata_al_standard_60m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_60m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ao,ao.MAIN,15m,dominant_main,blocked,40908,rqdata_ao_standard_15m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_15m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ao,ao.MAIN,15m,dominant_main,current,56087,rqdata_ao_standard_15m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_15m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ao,ao.MAIN,1d,dominant_main,blocked,40911,rqdata_ao_standard_1d_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1d_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ao,ao.MAIN,1d,dominant_main,current,55804,rqdata_ao_standard_1d_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1d_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ao,ao.MAIN,1d,dominant_main,excluded,55578,rqdata_ao_standard_1d_20230103_20260710_v2,2,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1d_20230103_20260710_v2.parquet,passed,,rulebook
intraday_research_v1,ao,ao.MAIN,1m,dominant_main,blocked,40906,rqdata_ao_standard_1m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ao,ao.MAIN,1m,dominant_main,current,55980,rqdata_ao_standard_1m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ao,ao.MAIN,1m,dominant_main,excluded,55758,rqdata_ao_standard_1m_20230103_20260710_v2,2,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1m_20230103_20260710_v2.parquet,passed,,rulebook
