classification,dataset,target_table,product,year,candidate_start_date,candidate_end_date,writes_parquet,writes_market_data_files,writes_quality_status,before_count,status,after_count,rows_fetched,rows_upsert_attempted,calls_rqdata,error_type,error_message
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pf,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pg,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pk,2021,2021-01-01,2021-12-31,False,False,False,0,success,446,446,446,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pm,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pp,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rb,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ri,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rm,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rr,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rs,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ru,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sa,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sc,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sf,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sm,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sn,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sp,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sr,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ss,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,t,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ta,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,tf,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ts,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ur,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,v,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,wh,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,wr,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,y,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,zc,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,zn,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,a,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ag,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,al,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ap,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,au,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,b,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,bb,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,bc,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,bu,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,c,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cf,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cj,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cs,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cu,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cy,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,eb,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,eg,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,fb,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,fg,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,fu,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,hc,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,i,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ic,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,if,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ih,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,im,2022,2022-01-01,2022-12-31,False,False,False,0,success,220,220,220,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,j,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,jd,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,jm,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,jr,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,l,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,lh,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,lu,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,m,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ma,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ni,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,nr,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,oi,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,p,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pb,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pf,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pg,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pk,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pm,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pp,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rb,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ri,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rm,2022,2022-01-01,2022-12-31,False,False,False,0,success,484,484,484,False,,
