issue_type,physical_path,data_versions,db_file_ids,record_count,disposition
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=GFEX/symbol=pd/contract=PD2608/PD2608_15m_20260401_20260707.parquet,rq_acb_pd_PD2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_pd_PD2608_15m_20260401_20260707_v1,33831;34213,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=INE/symbol=bc/contract=BC2608/BC2608_15m_20260401_20260707.parquet,rq_acb_bc_BC2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_bc_BC2608_15m_20260401_20260707_v1,33642;33933,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=INE/symbol=ec/contract=EC2608/EC2608_15m_20260401_20260707.parquet,rq_acb_ec_EC2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ec_EC2608_15m_20260401_20260707_v1,33705;34010,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=INE/symbol=lu/contract=LU2609/LU2609_15m_20260401_20260707.parquet,rq_acb_lu_LU2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_lu_LU2609_15m_20260401_20260707_v1,33789;34150,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=INE/symbol=nr/contract=NR2609/NR2609_15m_20260401_20260707.parquet,rq_acb_nr_NR2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_nr_NR2609_15m_20260401_20260707_v1,33803;34178,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=INE/symbol=sc/contract=SC2608/SC2608_15m_20260401_20260707.parquet,rq_acb_sc_SC2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_sc_SC2608_15m_20260401_20260707_v1,33451;34346,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=AD2609/AD2609_15m_20260401_20260707.parquet,rq_acb_ad_AD2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ad_AD2609_15m_20260401_20260707_v1,33607;33877,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ag/contract=AG2608/AG2608_15m_20260401_20260707.parquet,rq_acb_ag_AG2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ag_AG2608_15m_20260401_20260707_v1,33528;33884,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=al/contract=AL2608/AL2608_15m_20260401_20260707.parquet,rq_acb_al_AL2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_al_AL2608_15m_20260401_20260707_v1,33486;33891,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ao/contract=AO2609/AO2609_15m_20260401_20260707.parquet,rq_acb_ao_AO2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ao_AO2609_15m_20260401_20260707_v1,33614;33898,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=au/contract=AU2608/AU2608_15m_20260401_20260707.parquet,rq_acb_au_AU2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_au_AU2608_15m_20260401_20260707_v1,33521;33912,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=br/contract=BR2609/BR2609_15m_20260401_20260707.parquet,rq_acb_br_BR2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_br_BR2609_15m_20260401_20260707_v1,33649;33940,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=bu/contract=BU2609/BU2609_15m_20260401_20260707.parquet,rq_acb_bu_BU2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_bu_BU2609_15m_20260401_20260707_v1,33465;33947,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=cu/contract=CU2608/CU2608_15m_20260401_20260707.parquet,rq_acb_cu_CU2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_cu_CU2608_15m_20260401_20260707_v1,33479;33989,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=fu/contract=FU2609/FU2609_15m_20260401_20260707.parquet,rq_acb_fu_FU2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_fu_FU2609_15m_20260401_20260707_v1,33458;34038,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=hc/contract=HC2610/HC2610_15m_20260401_20260707.parquet,rq_acb_hc_HC2610_15m_20260401_20260707_v1;rqdata_actual_contract_bars_hc_HC2610_15m_20260401_20260707_v1,33367;34045,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ni/contract=NI2609/NI2609_15m_20260401_20260707.parquet,rq_acb_ni_NI2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ni_NI2609_15m_20260401_20260707_v1,33507;34171,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=op/contract=OP2609/OP2609_15m_20260401_20260707.parquet,rq_acb_op_OP2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_op_OP2609_15m_20260401_20260707_v1,33817;34192,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=pb/contract=PB2608/PB2608_15m_20260401_20260707.parquet,rq_acb_pb_PB2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_pb_PB2608_15m_20260401_20260707_v1,33500;34206,3,duplicate_version_requires_review
