product,contract_type,contract_role,symbol_or_contract,period,expected_start,expected_end,actual_min,actual_max,status,gap_start,gap_end,quality_status,file_path,recommended_action,segment_contract,segment_start,segment_end
lg,main,dominant_main,lg.MAIN,1m,2024-11-18,2026-07-10,2024-11-18,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=lg/contract=lg.MAIN/lg_MAIN_1m_20230103_20260712_v2.parquet,none,,,
lh,main,dominant_main,lh.MAIN,1m,2021-01-08,2026-07-10,2021-01-08,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=lh/contract=lh.MAIN/lh_MAIN_1m_20210108_20260711_v2.parquet,none,,,
lu,main,dominant_main,lu.MAIN,1m,2020-06-22,2026-07-10,2020-06-22,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=lu/contract=lu.MAIN/lu_MAIN_1m_20200622_20260711_v2.parquet,none,,,
m,main,dominant_main,m.MAIN,1m,2000-07-17,2026-07-10,2010-01-04,2026-07-10,partial_start,2000-07-17,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=m/contract=m.MAIN/m_MAIN_1m_20000717_20260711_v2.parquet,minute_pre2020_backfill,,,
ma,main,dominant_main,ma.MAIN,1m,2014-06-17,2026-07-10,2014-06-17,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ma/contract=ma.MAIN/ma_MAIN_1m_20140617_20260711_v2.parquet,none,,,
ni,main,dominant_main,ni.MAIN,1m,2015-03-27,2026-07-10,2015-03-27,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ni/contract=ni.MAIN/ni_MAIN_1m_20150327_20260711_v2.parquet,none,,,
nr,main,dominant_main,nr.MAIN,1m,2019-08-12,2026-07-10,2019-08-12,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=nr/contract=nr.MAIN/nr_MAIN_1m_20190812_20260711_v2.parquet,none,,,
oi,main,dominant_main,oi.MAIN,1m,2012-07-16,2026-07-10,2012-07-16,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=oi/contract=oi.MAIN/oi_MAIN_1m_20120716_20260711_v2.parquet,none,,,
op,main,dominant_main,op.MAIN,1m,2025-09-10,2026-07-10,2025-09-10,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=op/contract=op.MAIN/op_MAIN_1m_20230103_20260712_v2.parquet,none,,,
p,main,dominant_main,p.MAIN,1m,2007-10-29,2026-07-10,2010-01-04,2026-07-10,partial_start,2007-10-29,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=p.MAIN/p_MAIN_1m_20071029_20260711_v2.parquet,minute_pre2020_backfill,,,
