calendar_boundary_status,consumer,contract_role,effective_target_end,materialization_policy,period,product,profile_id,requirement_level,target_end,target_id,target_start
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,cu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cu:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,cu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cu:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,cy,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cy:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,cy,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cy:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,cy,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cy:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,cy,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cy:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,cy,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cy:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,cy,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cy:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,eb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eb:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,eb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eb:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,eb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eb:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,eb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eb:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,eb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eb:5m:source:2026-07-10,
