residual_scope,product,contract_role,contract,period,physical_path,status,reason,db_record_count,recommended_next_task
physical_evidence,b,dominant_main,b.MAIN,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1m_20230103_20260710_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1m_20230103_20260711_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1w_20200102_20260711_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1w_20230103_20260707_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1w_20230103_20260710_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1w_20230103_20260711_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,30m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_30m_20230103_20260707_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,30m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_30m_20230103_20260711_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,5m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_5m_20230103_20260707_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,5m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_5m_20230103_20260711_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,60m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_60m_20230103_20260707_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,b,dominant_main,b.MAIN,60m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_60m_20230103_20260711_v2.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,cf,actual_contract,CF2005,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=cf/contract=CF2005/CF2005_1w_20191127_20200102.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,cf,actual_contract,CF2305,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=cf/contract=CF2305/CF2305_1d_20221129_20221230.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,cf,actual_contract,CF2609,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=CF2609/CF2609_15m_20260408_20260707.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,cf,actual_contract,CF2609,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=cf/contract=CF2609/CF2609_1m_20260408_20260707.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,cf,actual_contract,CF2609,30m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=cf/contract=CF2609/CF2609_30m_20260408_20260707.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,cf,actual_contract,CF2609,5m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CZCE/symbol=cf/contract=CF2609/CF2609_5m_20260408_20260707.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
physical_evidence,cf,actual_contract,CF2609,60m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=cf/contract=CF2609/CF2609_60m_20260408_20260707.parquet,unregistered,primary_physical_evidence_without_exact_db_record,0,B2-04A-registration-applicability-triage
