residual_scope,product,contract_role,contract,period,physical_path,quality_status,reason,recommended_next_task
file_evidence,rs,dominant_main,rs.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1d_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1d_20230103_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1d_20230103_20260707_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1d_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1d_20230103_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1w_20121228_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1w_20230103_20260710_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1w_20230103_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1w_20230103_20260707_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1w_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1w_20230103_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,tf,dominant_main,tf.MAIN,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=tf/contract=tf.MAIN/tf_MAIN_1m_20130906_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1d_20120724_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1d_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1d_20230103_20260707_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1d_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1d_20230103_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1d_20230103_20260707_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1d_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1d_20230103_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1w_20120724_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,wh,dominant_main,wh.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
