product,metadata_type,applicability,status,reason,evidence_start,evidence_end,period,residual_scope,recommended_next_task
fb,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-12-06,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
fb,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
fb,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-12-06,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
fb,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
fg,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-12-03,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
fg,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-12-03,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
fg,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
fg,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-12-03,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
fg,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
fu,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
fu,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
fu,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
fu,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-11-01,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
fu,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
hc,contract_universe,applicable,unverified,blocked_by_trading_calendar,2014-03-21,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
hc,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2014-03-21,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
hc,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
hc,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2014-03-21,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
hc,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
i,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-10-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
i,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-10-18,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
i,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
i,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-10-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
i,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ic,contract_universe,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ic,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ic,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ic,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ic,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
if,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-04-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
if,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2010-04-16,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
if,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
if,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2010-04-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
if,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ih,contract_universe,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
