register_id,source,scope,hard_gate,profile_id,product,contract,period,reason,status,evidence
6a9fa15fceb9d5338ce4,B2-08A,profile_candidate,false,intraday_research_v1,cf,cf.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
88675cef6cd049ffd809,B2-08A,profile_candidate,false,intraday_research_v1,cf,cf.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
aa1a8edfba1b7cf313ab,B2-08A,profile_candidate,false,intraday_research_v1,cf,cf.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
39786787ee494b2380e7,B2-08A,profile_candidate,false,intraday_research_v1,cj,cj.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
e2e4cd9d33b54df0e4c7,B2-08A,profile_candidate,false,intraday_research_v1,cj,cj.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
96ce5bc51100ba6be426,B2-08A,profile_candidate,false,intraday_research_v1,cj,cj.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
da2072c9a9cbdd9663ac,B2-08A,profile_candidate,false,intraday_research_v1,cj,cj.MAIN,1m,target_coverage_incomplete,blocked_not_applied,rulebook
0cde8cf73c7c57d14ed4,B2-08A,profile_candidate,false,intraday_research_v1,cj,cj.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
2f1f833082b5057352b9,B2-08A,profile_candidate,false,intraday_research_v1,cj,cj.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
1f299ee091da95fae28a,B2-08A,profile_candidate,false,intraday_research_v1,cj,cj.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
9a03231d110f9ea7b49c,B2-08A,profile_candidate,false,intraday_research_v1,cs,cs.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
e8c455e6c892ec526f64,B2-08A,profile_candidate,false,intraday_research_v1,cs,cs.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
604db3089ee2a54ff01b,B2-08A,profile_candidate,false,intraday_research_v1,cs,cs.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
449b0039e0cee23fb801,B2-08A,profile_candidate,false,intraday_research_v1,cs,cs.MAIN,1m,target_coverage_incomplete,blocked_not_applied,rulebook
24a59d38322f63702620,B2-08A,profile_candidate,false,intraday_research_v1,cs,cs.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
975bdb378cb09a20697e,B2-08A,profile_candidate,false,intraday_research_v1,cs,cs.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
6c62a4992f90ce0d9d27,B2-08A,profile_candidate,false,intraday_research_v1,cs,cs.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
eb67274140f613307777,B2-08A,profile_candidate,false,intraday_research_v1,cu,cu.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
dd752355206b9e7f520b,B2-08A,profile_candidate,false,intraday_research_v1,cu,cu.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
