datetime,datetime_nano,DCE.i2105.open,DCE.i2105.high,DCE.i2105.low,DCE.i2105.close,DCE.i2105.volume,DCE.i2105.open_oi,DCE.i2105.close_oi
2021-04-09 09:33:00.000000000,1617931980000000000,1123.5,1124.5,1122.5,1123.0,170,179706,179616
2021-04-09 09:34:00.000000000,1617932040000000000,1123.0,1125.0,1122.0,1124.0,226,179616,179551
2021-04-09 09:35:00.000000000,1617932100000000000,1124.0,1124.5,1123.0,1123.0,87,179551,179510
2021-04-09 09:36:00.000000000,1617932160000000000,1123.0,1124.0,1122.5,1123.0,70,179510,179474
2021-04-09 09:37:00.000000000,1617932220000000000,1123.0,1124.0,1123.0,1124.0,23,179474,179473
2021-04-09 09:38:00.000000000,1617932280000000000,1124.0,1124.0,1123.0,1123.5,84,179473,179436
2021-04-09 09:39:00.000000000,1617932340000000000,1123.5,1124.5,1123.0,1123.0,37,179436,179415
2021-04-09 09:40:00.000000000,1617932400000000000,1123.0,1124.0,1123.0,1124.0,105,179415,179350
2021-04-09 09:41:00.000000000,1617932460000000000,1124.0,1124.5,1124.0,1124.5,31,179350,179329
2021-04-09 09:42:00.000000000,1617932520000000000,1124.5,1125.5,1124.0,1124.5,98,179329,179282
2021-04-09 09:43:00.000000000,1617932580000000000,1124.5,1126.0,1124.5,1126.0,153,179282,179246
2021-04-09 09:44:00.000000000,1617932640000000000,1126.0,1126.0,1125.0,1125.0,152,179246,179151
2021-04-09 09:45:00.000000000,1617932700000000000,1125.0,1125.5,1125.0,1125.0,15,179151,179145
2021-04-09 09:46:00.000000000,1617932760000000000,1125.0,1126.0,1125.0,1126.0,151,179145,179023
2021-04-09 09:47:00.000000000,1617932820000000000,1126.0,1126.0,1125.0,1126.0,78,179023,178968
2021-04-09 09:48:00.000000000,1617932880000000000,1126.0,1126.5,1125.5,1126.0,71,178968,178941
2021-04-09 09:49:00.000000000,1617932940000000000,1126.0,1126.5,1126.0,1126.5,11,178941,178938
2021-04-09 09:50:00.000000000,1617933000000000000,1126.5,1127.5,1126.0,1126.5,324,178938,178672
2021-04-09 09:51:00.000000000,1617933060000000000,1126.5,1128.5,1126.5,1128.5,459,178672,178557
2021-04-09 09:52:00.000000000,1617933120000000000,1128.5,1128.5,1127.5,1128.0,132,178557,178585
2021-04-09 09:53:00.000000000,1617933180000000000,1128.0,1129.0,1128.0,1128.5,175,178585,178604
2021-04-09 09:54:00.000000000,1617933240000000000,1128.5,1131.0,1128.5,1130.0,573,178604,178403
2021-04-09 09:55:00.000000000,1617933300000000000,1130.0,1130.5,1130.0,1130.0,82,178403,178399
2021-04-09 09:56:00.000000000,1617933360000000000,1130.0,1131.0,1130.0,1130.0,122,178399,178408
2021-04-09 09:57:00.000000000,1617933420000000000,1130.0,1131.5,1130.0,1131.0,403,178408,178385
2021-04-09 09:58:00.000000000,1617933480000000000,1131.0,1134.0,1131.0,1134.0,566,178385,178474
2021-04-09 09:59:00.000000000,1617933540000000000,1134.0,1136.0,1133.5,1135.0,928,178474,177909
2021-04-09 10:00:00.000000000,1617933600000000000,1135.0,1136.5,1135.0,1135.5,672,177909,177631
2021-04-09 10:01:00.000000000,1617933660000000000,1135.5,1137.0,1135.5,1136.5,457,177631,177591
2021-04-09 10:02:00.000000000,1617933720000000000,1136.5,1136.5,1134.5,1135.0,205,177591,177535
2021-04-09 10:03:00.000000000,1617933780000000000,1135.0,1136.0,1134.0,1134.0,426,177535,177450
2021-04-09 10:04:00.000000000,1617933840000000000,1134.0,1134.5,1132.5,1133.5,198,177450,177501
2021-04-09 10:05:00.000000000,1617933900000000000,1133.5,1134.0,1133.0,1133.5,100,177501,177517
2021-04-09 10:06:00.000000000,1617933960000000000,1133.5,1133.5,1132.5,1133.0,145,177517,177514
2021-04-09 10:07:00.000000000,1617934020000000000,1133.0,1133.0,1132.0,1132.0,138,177514,177512
2021-04-09 10:08:00.000000000,1617934080000000000,1132.0,1133.5,1132.0,1133.0,104,177512,177529
2021-04-09 10:09:00.000000000,1617934140000000000,1133.0,1133.0,1130.5,1131.0,270,177529,177566
2021-04-09 10:10:00.000000000,1617934200000000000,1131.0,1131.5,1129.0,1129.5,371,177566,177592
2021-04-09 10:11:00.000000000,1617934260000000000,1129.5,1130.0,1128.5,1129.0,312,177592,177465
2021-04-09 10:12:00.000000000,1617934320000000000,1129.0,1129.5,1127.5,1127.5,438,177465,177221
2021-04-09 10:13:00.000000000,1617934380000000000,1127.5,1130.0,1127.0,1129.5,224,177221,177175
2021-04-09 10:14:00.000000000,1617934440000000000,1129.5,1131.0,1129.0,1131.0,106,177175,177188
2021-04-09 10:30:00.000000000,1617935400000000000,1130.5,1131.5,1130.0,1131.0,112,177188,177218
2021-04-09 10:31:00.000000000,1617935460000000000,1131.0,1131.5,1130.5,1131.0,73,177218,177222
2021-04-09 10:32:00.000000000,1617935520000000000,1131.0,1133.0,1131.0,1131.5,214,177222,177197
2021-04-09 10:33:00.000000000,1617935580000000000,1131.5,1133.0,1131.5,1131.5,307,177197,177129
2021-04-09 10:34:00.000000000,1617935640000000000,1131.5,1131.5,1130.0,1130.0,198,177129,177176
2021-04-09 10:35:00.000000000,1617935700000000000,1130.0,1131.0,1129.5,1129.5,138,177176,177179
2021-04-09 10:36:00.000000000,1617935760000000000,1129.5,1129.5,1128.0,1128.0,214,177179,177190
2021-04-09 10:37:00.000000000,1617935820000000000,1128.0,1130.5,1127.5,1130.5,177,177190,177097
2021-04-09 10:38:00.000000000,1617935880000000000,1130.5,1130.5,1128.0,1129.0,60,177097,177081
2021-04-09 10:39:00.000000000,1617935940000000000,1129.0,1129.0,1127.5,1129.0,85,177081,177089
2021-04-09 10:40:00.000000000,1617936000000000000,1129.0,1130.0,1129.0,1130.0,25,177089,177084
2021-04-09 10:41:00.000000000,1617936060000000000,1130.0,1130.0,1129.0,1129.0,117,177084,177092
2021-04-09 10:42:00.000000000,1617936120000000000,1129.0,1130.5,1129.0,1129.5,82,177092,177082
2021-04-09 10:43:00.000000000,1617936180000000000,1129.5,1129.5,1129.0,1129.5,54,177082,177060
2021-04-09 10:44:00.000000000,1617936240000000000,1129.5,1129.5,1128.5,1129.0,79,177060,177043
2021-04-09 10:45:00.000000000,1617936300000000000,1129.0,1129.0,1127.5,1128.0,140,177043,177010
2021-04-09 10:46:00.000000000,1617936360000000000,1128.0,1128.5,1127.0,1128.0,149,177010,176965
2021-04-09 10:47:00.000000000,1617936420000000000,1128.0,1128.0,1127.0,1127.5,53,176965,176949
2021-04-09 10:48:00.000000000,1617936480000000000,1127.5,1127.5,1125.0,1126.5,538,176949,176726
2021-04-09 10:49:00.000000000,1617936540000000000,1126.5,1127.5,1126.0,1126.5,98,176726,176669
2021-04-09 10:50:00.000000000,1617936600000000000,1126.5,1127.0,1125.5,1126.0,235,176669,176714
2021-04-09 10:51:00.000000000,1617936660000000000,1126.0,1126.5,1125.5,1126.0,190,176714,176743
2021-04-09 10:52:00.000000000,1617936720000000000,1126.0,1127.0,1125.5,1126.0,143,176743,176749
2021-04-09 10:53:00.000000000,1617936780000000000,1126.0,1126.0,1125.0,1125.5,137,176749,176766
2021-04-09 10:54:00.000000000,1617936840000000000,1125.5,1126.5,1124.5,1126.5,429,176766,176600
2021-04-09 10:55:00.000000000,1617936900000000000,1126.5,1126.5,1126.0,1126.5,38,176600,176600
2021-04-09 10:56:00.000000000,1617936960000000000,1126.5,1126.5,1125.0,1125.0,510,176600,176450
2021-04-09 10:57:00.000000000,1617937020000000000,1125.0,1126.5,1123.0,1125.5,715,176450,176272
2021-04-09 10:58:00.000000000,1617937080000000000,1125.5,1127.0,1125.0,1125.0,295,176272,176272
2021-04-09 10:59:00.000000000,1617937140000000000,1125.0,1125.5,1122.0,1123.0,615,176272,176142
2021-04-09 11:00:00.000000000,1617937200000000000,1123.0,1125.0,1122.0,1124.5,255,176142,176206
2021-04-09 11:01:00.000000000,1617937260000000000,1124.5,1126.5,1123.5,1126.5,101,176206,176178
2021-04-09 11:02:00.000000000,1617937320000000000,1126.5,1127.0,1124.5,1126.5,93,176178,176199
2021-04-09 11:03:00.000000000,1617937380000000000,1126.5,1127.5,1126.0,1127.5,42,176199,176195
2021-04-09 11:04:00.000000000,1617937440000000000,1127.5,1128.0,1126.5,1128.0,114,176195,176199
2021-04-09 11:05:00.000000000,1617937500000000000,1128.0,1128.5,1126.0,1126.0,86,176199,176241
2021-04-09 11:06:00.000000000,1617937560000000000,1126.0,1127.5,1125.5,1126.5,132,176241,176182
2021-04-09 11:07:00.000000000,1617937620000000000,1126.5,1127.5,1126.0,1127.5,95,176182,176206
2021-04-09 11:08:00.000000000,1617937680000000000,1127.5,1128.0,1127.0,1128.0,16,176206,176211
2021-04-09 11:09:00.000000000,1617937740000000000,1128.0,1128.0,1127.0,1127.0,19,176211,176212
2021-04-09 11:10:00.000000000,1617937800000000000,1127.0,1128.0,1127.0,1127.0,113,176212,176245
2021-04-09 11:11:00.000000000,1617937860000000000,1127.0,1128.0,1127.0,1128.0,34,176245,176259
2021-04-09 11:12:00.000000000,1617937920000000000,1128.0,1128.0,1126.5,1126.5,52,176259,176294
2021-04-09 11:13:00.000000000,1617937980000000000,1126.5,1127.0,1126.0,1126.0,98,176294,176272
2021-04-09 11:14:00.000000000,1617938040000000000,1126.0,1126.0,1125.0,1125.5,179,176272,176310
2021-04-09 11:15:00.000000000,1617938100000000000,1125.5,1125.5,1123.5,1125.0,564,176310,176287
2021-04-09 11:16:00.000000000,1617938160000000000,1125.0,1125.5,1125.0,1125.5,46,176287,176298
2021-04-09 11:17:00.000000000,1617938220000000000,1125.5,1126.0,1125.5,1126.0,96,176298,176361
2021-04-09 11:18:00.000000000,1617938280000000000,1126.0,1126.5,1124.5,1124.5,84,176361,176353
2021-04-09 11:19:00.000000000,1617938340000000000,1124.5,1126.0,1124.5,1126.0,123,176353,176373
2021-04-09 11:20:00.000000000,1617938400000000000,1126.0,1126.0,1124.5,1125.0,52,176373,176367
2021-04-09 11:21:00.000000000,1617938460000000000,1125.0,1125.5,1124.5,1125.0,68,176367,176324
2021-04-09 11:22:00.000000000,1617938520000000000,1125.0,1125.5,1125.0,1125.0,73,176324,176325
2021-04-09 11:23:00.000000000,1617938580000000000,1125.0,1125.0,1124.0,1124.0,154,176325,176289
2021-04-09 11:24:00.000000000,1617938640000000000,1124.0,1125.0,1123.5,1125.0,90,176289,176240
2021-04-09 11:25:00.000000000,1617938700000000000,1125.0,1125.5,1121.0,1122.0,645,176240,175925
2021-04-09 11:26:00.000000000,1617938760000000000,1122.0,1122.5,1121.5,1122.0,287,175925,175825
2021-04-09 11:27:00.000000000,1617938820000000000,1122.0,1122.0,1121.0,1121.5,238,175825,175760
2021-04-09 11:28:00.000000000,1617938880000000000,1121.5,1122.0,1121.0,1121.0,253,175760,175632
2021-04-09 11:29:00.000000000,1617938940000000000,1121.0,1121.5,1120.0,1120.0,605,175632,175326
2021-04-09 13:30:00.000000000,1617946200000000000,1120.0,1120.0,1117.5,1118.0,1615,175326,174940
2021-04-09 13:31:00.000000000,1617946260000000000,1118.0,1120.0,1117.0,1119.5,443,174940,175001
2021-04-09 13:32:00.000000000,1617946320000000000,1119.5,1121.0,1119.0,1119.5,185,175001,175008
2021-04-09 13:33:00.000000000,1617946380000000000,1119.5,1120.0,1118.0,1119.5,206,175008,175080
2021-04-09 13:34:00.000000000,1617946440000000000,1119.5,1122.5,1119.5,1121.5,283,175080,175160
2021-04-09 13:35:00.000000000,1617946500000000000,1121.5,1122.0,1119.5,1121.5,284,175160,175224
2021-04-09 13:36:00.000000000,1617946560000000000,1121.5,1121.5,1119.0,1119.5,138,175224,175266
2021-04-09 13:37:00.000000000,1617946620000000000,1119.5,1120.0,1119.0,1119.5,269,175266,175281
2021-04-09 13:38:00.000000000,1617946680000000000,1119.5,1120.0,1119.5,1120.0,196,175281,175264
2021-04-09 13:39:00.000000000,1617946740000000000,1120.0,1121.0,1120.0,1120.5,89,175264,175291
2021-04-09 13:40:00.000000000,1617946800000000000,1120.5,1120.5,1119.0,1119.5,135,175291,175294
2021-04-09 13:41:00.000000000,1617946860000000000,1119.5,1120.0,1118.5,1119.0,230,175294,175303
2021-04-09 13:42:00.000000000,1617946920000000000,1119.0,1120.0,1118.5,1119.5,121,175303,175312
2021-04-09 13:43:00.000000000,1617946980000000000,1119.5,1121.0,1119.5,1121.0,168,175312,175283
2021-04-09 13:44:00.000000000,1617947040000000000,1121.0,1121.0,1119.0,1119.0,348,175283,175159
