product,metadata_type,applicability,status,reason,evidence_start,evidence_end
j,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
j,trading_parameter,applicable,passed,trading_parameters_present,2011-04-15,2026-07-10
j,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
jd,asset_registration,applicable,passed,registered_contract_listing,2013-11-08,2026-07-10
jd,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
jd,contract_universe,applicable,passed,contract_universe_present,2013-11-08,2026-07-10
jd,main_contract_map,applicable,passed,rank1_mapping_present,2013-11-08,2026-07-07
jd,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
jd,trading_parameter,applicable,passed,trading_parameters_present,2013-11-08,2026-07-10
jd,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
jm,asset_registration,applicable,passed,registered_contract_listing,2013-03-22,2026-07-10
jm,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
jm,contract_universe,applicable,passed,contract_universe_present,2013-03-22,2026-07-10
jm,main_contract_map,applicable,passed,rank1_mapping_present,2013-03-22,2026-07-07
jm,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
jm,trading_parameter,applicable,passed,trading_parameters_present,2013-03-22,2026-07-10
jm,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
jr,asset_registration,applicable,passed,registered_contract_listing,2013-11-18,2026-07-10
jr,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
jr,contract_universe,applicable,passed,contract_universe_present,2013-11-18,2026-07-10
jr,main_contract_map,applicable,passed,rank1_mapping_present,2013-11-18,2026-07-07
jr,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
jr,trading_parameter,applicable,passed,trading_parameters_present,2013-11-18,2026-07-10
jr,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
l,asset_registration,applicable,passed,registered_contract_listing,2007-07-31,2026-07-10
l,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
l,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
l,main_contract_map,applicable,passed,rank1_mapping_present,2007-07-31,2026-07-07
l,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
l,trading_parameter,applicable,passed,trading_parameters_present,2008-01-16,2026-07-10
l,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
l_f,asset_registration,applicable,passed,registered_contract_listing,2025-10-29,2026-07-10
l_f,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2025-10-29,2026-07-07
l_f,contract_universe,applicable,passed,contract_universe_present,2025-10-29,2026-07-10
l_f,main_contract_map,applicable,passed,rank1_mapping_present,2025-10-29,2026-07-07
l_f,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
l_f,trading_parameter,applicable,passed,trading_parameters_present,2025-10-29,2026-07-10
l_f,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
lc,asset_registration,applicable,passed,registered_contract_listing,2023-07-21,2026-07-10
lc,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2023-07-21,2026-07-07
lc,contract_universe,applicable,passed,contract_universe_present,2023-07-21,2026-07-10
lc,main_contract_map,applicable,passed,rank1_mapping_present,2023-07-21,2026-07-07
lc,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
lc,trading_parameter,applicable,passed,trading_parameters_present,2023-07-21,2026-07-10
